Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),nfc
105.0,14.5,11.7,155.5,382.0,3.15,0.13844075
93.0,17.55,15.4,154.5,341.5,2.703,0.312789
69.0,7.5,6.6,112.0,173.0,0.84,0.023788
84.0,9.3,7.1,135.0,97.0,0.435,0.019734
75.0,5.8,9.2,104.0,191.0,0.37,0.0576275
86.5,12.05,9.9,124.5,269.5,1.86,0.111289
69.0,13.75,11.35,118.5,159.5,1.068,0.0624375
88.5,7.05,7.0,118.5,113.5,0.823,0.00702125
73.0,3.3,12.1,108.0,198.5,0.948,0.05969675
71.0,9.8,13.35,117.0,176.0,0.873,0.054612
70.0,13.5,9.25,104.0,195.0,0.62,0.042449
94.5,12.05,14.65,146.5,332.5,1.895,0.22319775
93.0,16.9,14.15,135.0,319.5,2.46,0.41390025
