Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),lignin
86.5,8.6,6.7,146.0,375.0,1.833,0.027984
134.0,9.6,-1.0,152.0,445.0,2.875,0.06552
-1.0,11.7,-1.0,154.0,432.5,6.065,0.08401325
99.5,13.8,12.35,135.0,425.0,2.825,0.041925
-1.0,9.15,-1.0,158.0,440.0,2.555,0.04774875
-1.0,6.35,-1.0,158.0,306.5,2.455,0.025312
-1.0,8.45,-1.0,157.5,373.0,2.045,0.0272675
-1.0,5.35,-1.0,158.0,346.5,2.558,0.0244555
-1.0,6.1,-1.0,156.5,312.0,3.093,0.01372475
-1.0,6.6,-1.0,155.5,271.5,1.765,0.01776
-1.0,6.6,-1.0,158.5,356.5,1.813,0.0206925
-1.0,5.8,-1.0,157.5,373.5,3.213,0.02765625
-1.0,7.45,-1.0,160.0,267.5,2.143,0.02073825
-1.0,6.35,-1.0,159.0,329.0,2.54,0.024783
-1.0,7.0,-1.0,155.5,275.5,1.943,0.0326815
-1.0,5.0,-1.0,156.0,380.0,3.105,0.0250425
-1.0,6.9,-1.0,158.0,280.5,2.595,0.014775
-1.0,5.95,-1.0,157.0,308.0,2.365,0.01663975
-1.0,7.6,-1.0,159.5,378.0,2.958,0.03333875
-1.0,3.6,-1.0,158.0,234.0,1.885,0.01191975
-1.0,8.85,-1.0,159.5,362.5,2.028,0.02191875
134.0,13.8,-1.0,154.5,429.0,2.768,0.07163
-1.0,6.65,-1.0,157.0,302.0,1.608,0.017375
-1.0,9.65,-1.0,160.0,430.5,2.76,0.0407
-1.0,7.2,-1.0,159.0,321.0,1.943,0.0177
-1.0,7.25,-1.0,159.0,377.5,2.665,0.0233935
-1.0,6.6,-1.0,158.0,352.5,2.02,0.028303
-1.0,7.75,-1.0,159.5,318.5,2.535,0.01914525
-1.0,6.5,-1.0,158.5,328.5,2.69,0.02472625
-1.0,6.1,-1.0,158.0,327.5,3.54,0.020863
-1.0,7.2,-1.0,157.0,326.0,1.795,0.02098275
-1.0,6.6,-1.0,156.5,335.0,2.14,0.0363975
-1.0,5.6,-1.0,159.5,367.0,2.578,0.0338975
-1.0,7.3,-1.0,158.5,316.5,1.893,0.015985
-1.0,6.1,-1.0,154.5,367.5,1.365,0.02810925
-1.0,5.05,-1.0,158.0,281.5,2.205,0.02161125
-1.0,5.85,-1.0,155.5,289.0,2.635,0.018434
-1.0,5.85,-1.0,158.0,274.0,2.175,0.02028
-1.0,7.95,-1.0,154.5,356.0,2.485,0.0339105
-1.0,4.5,-1.0,153.0,285.0,1.875,0.016233
-1.0,6.7,-1.0,159.0,312.0,1.765,0.0229425
-1.0,7.5,-1.0,154.0,367.5,1.798,0.03685825
-1.0,8.35,-1.0,158.5,327.0,1.568,0.03068425
-1.0,4.55,-1.0,157.5,367.5,2.2,0.02400375
-1.0,7.2,-1.0,154.5,362.0,2.78,0.02487375
-1.0,7.7,-1.0,158.0,470.0,3.443,0.058016
-1.0,6.55,-1.0,155.5,335.5,1.895,0.028897
-1.0,7.35,-1.0,158.0,395.0,2.433,0.020358
-1.0,4.6,-1.0,157.5,291.0,2.253,0.024198
-1.0,5.75,-1.0,158.5,261.0,1.81,0.0157755
-1.0,5.95,-1.0,156.0,371.5,2.675,0.028801
-1.0,7.45,-1.0,158.0,390.0,2.063,0.02930375
-1.0,8.2,-1.0,156.0,400.5,3.283,0.0631925
-1.0,8.65,-1.0,157.5,332.0,2.813,0.03139175
-1.0,7.05,-1.0,159.5,321.0,2.155,0.031104
-1.0,7.95,-1.0,158.5,426.0,2.258,0.040908
-1.0,10.75,-1.0,158.0,492.5,2.213,0.05852925
-1.0,6.95,-1.0,157.5,345.0,4.193,0.035048
-1.0,7.2,-1.0,154.0,333.5,2.87,0.029341
-1.0,11.75,-1.0,159.0,481.0,3.033,0.04862
-1.0,6.45,-1.0,155.5,326.5,2.51,0.026637
70.0,14.4,10.95,104.0,173.0,0.335,0.00435375
94.0,7.4,7.85,124.5,124.5,1.04,0.0080065
112.5,13.5,13.45,156.0,296.5,2.178,0.0366525
115.0,7.55,16.3,156.5,401.0,3.193,0.02277825
-1.0,7.7,-1.0,159.0,395.5,2.995,0.04221
-1.0,6.15,-1.0,158.0,426.0,3.133,0.04287825
-1.0,8.1,-1.0,160.0,368.0,2.26,0.028288
-1.0,7.3,-1.0,159.5,372.5,1.83,0.02066075
-1.0,7.35,-1.0,160.0,334.0,2.605,0.025296
-1.0,7.0,-1.0,154.0,268.0,1.72,0.022815
-1.0,6.65,-1.0,157.0,326.5,3.04,0.017068
-1.0,6.1,-1.0,158.5,333.0,1.973,0.0286395
-1.0,5.2,-1.0,158.0,361.0,2.1,0.02413125
-1.0,6.05,-1.0,158.5,310.5,1.91,0.021924
92.5,12.1,9.3,132.0,273.0,1.33,0.0273045
104.0,14.25,11.65,158.0,350.0,3.353,0.0221265
80.5,11.65,10.0,118.5,288.0,2.395,0.03101375
70.0,8.15,11.05,110.5,120.0,0.785,0.00529925
-1.0,11.0,-1.0,158.0,389.0,2.995,0.0361785
-1.0,6.9,-1.0,159.5,301.0,1.843,0.0240175
-1.0,8.25,-1.0,159.0,406.0,1.995,0.0340725
-1.0,8.65,-1.0,157.0,415.0,2.678,0.050094
89.0,12.95,12.25,132.0,261.5,2.058,0.017931
78.0,11.9,12.85,112.0,218.5,1.278,0.0078795
71.0,11.4,11.85,108.0,224.0,1.483,0.00890625
68.0,8.95,9.4,108.0,224.0,1.398,0.013644
83.0,12.4,11.15,132.0,257.0,1.578,0.0176605
68.0,14.4,10.65,104.0,193.0,1.303,0.009773
86.5,12.75,12.9,135.0,325.0,2.503,0.0246
78.0,16.75,13.55,118.5,252.5,1.613,0.031995
73.5,11.7,13.55,112.0,213.0,0.843,0.0152
91.0,9.8,12.9,147.0,262.0,1.27,0.014656
