Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),c6
-1.0,6.55,-1.0,158.0,389.5,3.448,0.2890755
-1.0,12.15,-1.0,157.5,460.0,3.043,0.29562575
-1.0,6.6,-1.0,158.0,395.0,4.4,0.53046
114.5,13.7,12.55,157.0,409.5,2.733,0.248757
134.0,8.85,-1.0,157.5,400.0,4.243,0.27417
134.0,12.15,-1.0,158.5,401.0,2.955,0.205539
-1.0,9.3,-1.0,159.0,303.5,4.215,0.29327425
-1.0,11.6,-1.0,157.0,447.5,4.035,0.22716575
-1.0,12.2,-1.0,163.0,490.0,2.745,0.687575
-1.0,14.0,-1.0,158.0,500.0,3.103,0.5577845
-1.0,10.85,-1.0,157.0,405.0,1.598,0.19094225
129.0,11.3,9.8,152.0,405.0,3.14,0.386355
134.0,12.3,-1.0,159.0,383.0,2.333,0.1790135
-1.0,8.3,-1.0,155.0,485.0,2.545,0.217958
93.0,11.4,8.6,135.0,473.5,1.155,0.11421025
134.0,7.0,-1.0,158.0,392.5,3.29,0.23200975
-1.0,5.25,-1.0,158.5,433.0,2.855,0.2396165
-1.0,5.7,-1.0,158.5,238.5,2.945,0.126786
-1.0,7.9,-1.0,159.0,455.0,3.775,0.22912875
-1.0,7.45,-1.0,158.0,390.5,2.783,0.229729
-1.0,4.1,-1.0,162.0,334.5,4.545,0.1898475
110.0,8.9,10.0,157.5,337.5,3.63,0.30838325
71.0,9.35,10.1,117.0,90.0,0.453,0.0338215
-1.0,12.8,-1.0,159.0,522.0,6.23,0.343035
-1.0,6.3,-1.0,157.0,482.0,8.005,0.39608775
-1.0,8.0,-1.0,156.5,436.5,4.413,0.4067
-1.0,5.7,-1.0,157.5,392.5,3.34,0.152132
-1.0,8.2,-1.0,153.0,-1.0,4.735,0.4719715
-1.0,8.65,-1.0,157.5,535.0,4.558,0.391433
-1.0,10.9,-1.0,159.5,491.5,3.353,0.2118105
-1.0,6.3,-1.0,154.0,400.0,3.435,0.154616
134.0,9.85,-1.0,157.0,458.0,3.973,0.220864
-1.0,6.3,-1.0,158.0,499.5,4.14,0.2495955
-1.0,8.7,-1.0,157.5,465.0,3.003,0.187107
-1.0,9.55,-1.0,158.5,412.5,3.055,0.196299
-1.0,9.5,-1.0,157.0,415.0,2.35,0.16860725
-1.0,7.9,-1.0,159.0,408.5,2.523,0.159213
-1.0,5.25,-1.0,157.0,367.5,3.443,0.15694
-1.0,6.4,-1.0,158.0,322.0,1.578,0.1758355
-1.0,6.35,-1.0,156.0,418.0,2.96,0.166152
-1.0,7.15,-1.0,157.0,313.0,3.298,0.188811
110.0,14.45,15.6,157.0,308.5,2.178,0.1579935
-1.0,6.9,-1.0,159.0,341.5,1.693,0.09109875
-1.0,7.0,-1.0,157.0,458.5,2.458,0.2075325
-1.0,8.65,-1.0,155.5,408.5,3.388,0.17365
-1.0,9.7,-1.0,158.0,362.0,3.103,0.208335
-1.0,7.8,-1.0,158.5,387.0,2.513,0.19251
-1.0,7.35,-1.0,159.0,362.5,2.883,0.19527625
-1.0,11.3,-1.0,158.5,396.0,2.405,0.214965
-1.0,5.45,-1.0,157.5,301.5,3.735,0.1125275
-1.0,8.15,-1.0,158.0,415.5,2.768,0.243162
76.5,8.0,6.2,124.5,154.0,0.918,0.0482175
