SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,accession_photoperiod,accession_type,accession_origin,accession_race,NEM_OARDC
125.0,146.0,141.0,0.28,0.12,0.11,22.0,20.0,16.0,0.74121,0.053309,0.066102,0.30079,0.82874,-1.0,30.1549,-1.0,137.333333333,8.95668589503,19.3333333333,2.49443825785,1.0,2.0,8.0,0.0,41.62
132.0,128.0,127.0,0.18,0.15,0.15,21.0,20.0,16.0,0.027001,0.058191,0.061004,0.27379,0.59966,-1.0,38.0762,-1.0,129.0,2.16024689947,19.0,2.16024689947,1.0,1.0,0.0,0.0,50.86
143.0,142.0,140.0,0.55,0.39,0.36,17.0,17.0,17.0,0.43038,0.048201,0.062465,0.20947,0.60199,-1.0,21.6823,-1.0,141.666666667,1.24721912892,17.0,0.0,1.0,3.0,0.0,0.0,52.25
117.0,124.0,128.0,0.6,0.42,0.35,20.0,20.0,20.0,0.37653,0.064795,0.069093,0.31943,0.59269,-1.0,52.7159,-1.0,123.0,4.54606056566,20.0,0.0,1.0,2.0,37.0,2.0,47.56
79.0,74.0,70.0,0.1,0.04,0.03,15.0,17.0,21.0,0.72262,0.05247,0.062203,0.25422,0.4396,-1.0,2.2984,-1.0,74.3333333333,3.68178700573,17.6666666667,2.49443825785,1.0,2.0,0.0,0.0,50.81
114.0,107.0,108.0,0.23,0.22,0.19,21.0,19.0,19.0,0.53085,0.059945,0.079281,0.2199,0.66792,-1.0,36.1488,-1.0,109.666666667,3.09120616517,19.6666666667,0.942809041582,1.0,2.0,0.0,0.0,52.4
84.0,91.0,92.0,0.55,0.48,0.42,16.0,18.0,17.0,0.12959,0.050175,0.062394,0.30164,0.5662,-1.0,17.4795,-1.0,89.0,3.55902608401,17.0,0.816496580928,1.0,2.0,15.0,0.0,61.25
158.0,133.0,141.0,0.34,0.26,0.21,24.0,25.0,20.0,0.1392,0.063869,0.070159,0.25045,0.5252,-1.0,30.584,-1.0,144.0,10.4243305141,23.0,2.16024689947,1.0,1.0,27.0,0.0,52.34
155.0,147.0,135.0,0.34,0.28,0.28,14.0,18.0,16.0,0.54648,0.054313,0.068524,0.17627,0.47105,-1.0,24.7086,-1.0,145.666666667,8.21921867063,16.0,1.63299316186,1.0,3.0,0.0,0.0,64.38
133.0,130.0,140.0,0.5,0.43,0.42,20.0,18.0,15.0,0.10414,0.026803,0.067863,0.38546,0.71988,-1.0,29.4093,-1.0,134.333333333,4.18993502999,17.6666666667,2.05480466766,1.0,1.0,35.0,0.0,55.69
82.0,81.0,87.0,0.13,0.09,0.08,22.0,21.0,23.0,0.62291,0.053275,0.058498,0.40779,0.58007,-1.0,2.3654,-1.0,83.3333333333,2.62466929134,22.0,0.816496580928,1.0,2.0,0.0,0.0,56.09
96.0,88.0,99.0,0.12,0.04,0.03,22.0,26.0,23.0,0.38981,0.052506,0.071839,0.18311,0.61234,-1.0,1.4286,-1.0,94.3333333333,4.64279609239,23.6666666667,1.6996731712,1.0,1.0,10.0,0.0,43.12
