SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,SYNTHETIC_HGT,SYNTHETIC_PAN,Crude_protein
0.83,0.82,0.76,0.6037,0.066069,0.047421,0.31357,0.27987,-1.0,16.3337,44.6299,340665.77825,3832688.56625,1.0,3.0,33.0,1.0,300.666666667,23.3333333333,6.26
1.98,1.95,1.79,0.85364,0.030011,0.062695,0.24983,0.39338,-1.0,30.9132,29.9074,340667.282375,3832692.815,1.0,3.0,0.0,0.0,218.666666667,15.0,7.88
0.68,0.68,0.54,0.9792,0.029628,0.064202,0.20873,0.24326,-1.0,15.8458,22.8955,340670.33075,3832701.4225,1.0,1.0,25.0,12.0,213.333333333,5.66666666667,5.16
0.68,0.61,0.58,0.002585,0.034389,0.066601,0.30143,0.23885,-1.0,24.7236,45.2653,340671.75075,3832705.435,1.0,3.0,0.0,0.0,199.333333333,19.0,6.78
0.77,0.72,0.66,0.67607,0.049005,0.057757,0.20599,0.28408,-1.0,15.2821,53.5884,340673.294,3832709.79625,1.0,3.0,10.0,0.0,327.666666667,50.0,4.84
0.63,0.6,0.47,0.59913,0.024808,0.063885,0.00042983,0.25902,-1.0,22.3531,46.0913,340674.86025,3832714.225,1.0,1.0,26.0,0.0,153.0,16.0,6.15
1.63,1.57,1.48,0.91882,0.037841,0.066236,0.1785,0.29693,-1.0,32.3444,39.6449,340676.404125,3832718.5825,1.0,3.0,25.0,13.0,230.666666667,20.3333333333,3.39
0.63,0.63,0.6,0.60044,0.050264,0.035336,0.16441,0.38388,-1.0,12.4931,6.0915,340677.908375,3832722.835,1.0,1.0,0.0,0.0,237.333333333,21.0,5.79
0.91,-1.0,0.8,0.30556,0.038897,0.061262,0.27872,0.41736,-1.0,49.9016,40.9948,340682.5475,3832735.93875,1.0,3.0,26.0,0.0,213.0,-1.0,5.66
1.09,-1.0,0.94,0.65076,0.027448,0.048591,0.21681,0.25033,-1.0,25.0167,58.008,340684.071625,3832740.24625,1.0,3.0,26.0,0.0,277.333333333,-1.0,5.18
2.01,1.95,1.78,0.52282,0.029522,0.084937,0.34307,0.41369,-1.0,51.7547,54.6046,340685.592,3832744.54,1.0,3.0,26.0,0.0,316.333333333,19.0,3.33
1.09,1.0,0.99,0.82325,0.030157,0.053021,0.27229,0.51,-1.0,24.5924,44.2065,340687.1455,3832748.92875,1.0,3.0,0.0,0.0,250.333333333,18.6666666667,4.93
1.41,1.23,1.12,0.56683,0.040341,0.032291,0.16111,0.38354,-1.0,24.9438,28.4336,340688.662125,3832753.21375,1.0,3.0,0.0,0.0,232.0,19.0,1.83
2.08,2.03,1.9,0.99565,0.030555,0.053547,0.27494,0.47288,-1.0,28.6152,34.3221,340690.158375,3832757.44,1.0,3.0,11.0,0.0,277.333333333,19.0,3.66
0.4,0.36,0.35,0.29704,0.037173,0.062797,0.22508,0.52966,-1.0,5.5557,41.9648,340691.69625,3832761.7875,1.0,3.0,0.0,0.0,178.333333333,17.0,5.72
1.35,-1.0,1.15,0.77803,0.043792,0.083234,0.32552,0.25421,-1.0,22.5654,52.1256,340693.194625,3832766.02,1.0,3.0,36.0,2.0,210.0,-1.0,6.7
