feature_name,row,range,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,ADF,AD_ICP,Adj_CP,aNDFom,Ash,Crude_protein,DCAD,Dry_Matter,EE_Fat,Lignin,NEG_OARDC,NEL3x_ADF,NEL3x_OARDC,NEM_OARDC,NFC,SPCP,Starch,TDN_OARDC,WSC_Sugar,Cellulose,Hemicellulose
gps_eastings_UTMzone17N,-0.824595641004,0.579342097645,1.0,0.433403674625,0.139521133242,0.238094814697,0.157042984357,0.521121478139,0.206591609912,-0.173488230521,0.138611278535,0.0396330558934,0.199620786182,0.181651654583,0.188285288697,0.18737088836,0.0723581626755,0.191776118956,0.0476085636901,0.0661025886928,0.0613430717786,0.191397944254,0.0547195762422,0.058538565185,0.0203489333104,0.189691744445,0.177114203577,0.107387304788,0.176236432855,0.0216808644891,0.0778787439643,-0.0241016526402,0.164930353204,0.163056396097,0.169912478488,0.134186265974,0.156539827996,0.153840536069,0.149030706187,0.128945590777,-0.0155787298465,0.138377554485,0.149443193515,0.123225635297,0.184950031552,0.152673630129
gps_northings_UTMzone17N,0.152409737579,0.985635558446,0.433403674625,1.0,-0.0337735381139,0.00561559087381,-0.0172039908202,-0.107446128052,-0.0922149113288,-0.106620677846,-0.128810950873,-0.0967940943361,-0.1145227552,-0.124147472346,-0.131711594829,-0.143449247441,-0.0595450671231,-0.128599130421,-0.0841254991722,-0.0728795354456,-0.0708361805073,-0.124500526664,-0.0797649908793,-0.076395637673,-0.0708024172606,-0.0223508755562,0.00579808982703,0.0864824651365,-0.0241298349254,-0.16906587684,0.0599413798464,-0.117901188444,-0.0195495372537,-0.00469226904544,-0.084906305889,0.0469741266561,0.00266322861279,0.00287472942178,0.0289302258393,0.00702716200124,0.0229892613512,0.0121748884283,0.00862856605671,0.00918188959586,-0.00876614769056,-0.0258559327952
2016_07_13-14_Leaf_Necrosis,-0.173799921243,-0.00440874737701,0.139521133242,-0.0337735381139,1.0,0.35238473562,0.282170020584,0.275153191289,0.436606403764,-0.0660616370832,0.179178370312,0.127053445246,0.0937396933825,0.100115454981,0.0906068895405,0.214668102692,-0.104630012646,0.217434140878,-0.138901540274,-0.137019420985,-0.134640128545,0.0956083946832,0.106457979922,-0.137533427001,-0.150637090313,0.222992085311,0.224187859714,0.270866083369,0.231227315526,0.181532311277,0.280120638321,0.102227442712,0.239998390294,0.246243090618,0.155692789406,0.244739202466,0.22826790717,0.24197019526,0.246406943318,0.139765113938,0.275479369137,0.23883939467,0.242035471783,0.110675726451,0.227493076261,0.23900673301
2016_07_13-14_vegetation_index,-0.258498779574,0.0492431422329,0.238094814697,0.00561559087381,0.35238473562,1.0,0.280450696781,0.252438060631,0.210876302921,-0.191590129358,-0.00372785036242,0.104022371157,0.0309080788097,0.0359413408246,0.0444857482713,0.041721525381,0.00768115874067,0.0491135890884,0.0101254921634,0.0113591082192,0.0146441418171,0.0374314755135,0.0226349508232,0.0120714961817,-0.0158801179307,0.102541468048,0.101479297151,0.0926591177784,0.0982082561996,0.0322172294973,0.0890135893655,-0.012926657122,0.0963338993712,0.104329201292,0.0486360578229,0.10445504467,0.108892573761,0.0997865673114,0.100161827239,0.0554272423683,0.0537663553892,0.106409110805,0.107186483566,0.0594575535618,0.108835836326,0.0959030697814
2016_08_05-08_vegetation_index,-0.185357070318,0.0137492456111,0.157042984357,-0.0172039908202,0.282170020584,0.280450696781,1.0,0.103634166262,0.347962205501,0.213938340378,0.375262752206,0.138541873842,0.21221990247,0.211028272362,0.217097434933,0.150549746396,0.0782212153979,0.154626275786,0.0821081970224,0.0809995635998,0.0847888807257,0.215214538997,0.102632367241,0.0830094420343,0.0503058223022,0.151145258453,0.157974633112,0.0348407351579,0.150759117403,0.143731508627,0.039061875178,0.0980067563268,0.17132154751,0.152420460227,0.173051698672,0.141798058864,0.142654154884,0.165404451575,0.153722620703,0.180487021134,0.0028455473671,0.14657210129,0.151375322837,0.1701623983,0.140898273188,0.147159939022
2016_07_13_BAP_Leaf_Area,-0.638130593145,0.00125654380199,0.521121478139,-0.107446128052,0.275153191289,0.252438060631,0.103634166262,1.0,0.545888223978,-0.169151227752,0.240675809477,0.233852129347,0.14267901329,0.132158250411,0.143265445692,0.298404732435,-0.144633552138,0.293580027055,-0.148855207513,-0.142970191923,-0.14666635598,0.140509955663,0.141661492229,-0.146875857861,-0.177470282092,0.290677827134,0.241322388162,0.276627609434,0.273559190525,0.140291177195,0.271878976545,0.0532120416045,0.245717530445,0.25793248948,0.195582383424,0.202493899874,0.235388235317,0.226558887429,0.219259298898,0.086995185675,0.225859655623,0.19031044979,0.231146127485,0.043368481164,0.296136321728,0.24564726429
2016_07_13_laser_plant_height,-0.284510001541,-0.0446969487641,0.206591609912,-0.0922149113288,0.436606403764,0.210876302921,0.347962205501,0.545888223978,1.0,0.166177120594,0.123366760953,0.431748017013,0.318978161967,0.314747724658,0.318366312348,0.269859676826,0.0759356489096,0.271924435996,0.0439464865185,0.0461055161587,0.0464043271794,0.319982711452,0.127214737223,0.0456862506711,-0.00176309522052,0.210530709595,0.206010240936,0.0719533775224,0.214261227094,0.174620370157,0.0849389237074,0.156813950602,0.240305125148,0.212424195828,0.247262307019,0.201487435079,0.195116641335,0.234233038339,0.218369870829,0.247719921464,0.0677095881529,0.207254233906,0.209186720856,0.232854376979,0.195065360065,0.214433825637
2016_07_light_interception,0.122421855959,-0.128888094526,-0.173488230521,-0.106620677846,-0.0660616370832,-0.191590129358,0.213938340378,-0.169151227752,0.166177120594,1.0,-0.0395521076532,0.293042990584,0.222042906226,0.23666257647,0.215561778768,0.124262278121,0.0776165579812,0.120705524267,0.0595770116629,0.0461774768134,0.0571972173019,0.226623013511,0.0914174659701,0.0545942739761,0.0730611489706,0.0147886738952,0.0119025531545,-0.112506357215,0.0231526401735,0.0809694068292,-0.0790986237952,0.104515792831,0.0496231247982,0.0168772324259,0.107697517227,0.0178430557735,-0.00255355608463,0.0439474295303,0.0295086661614,0.127783551006,-0.0187752057189,0.0360480658531,0.0145116677088,0.127665433416,-0.00353867743127,0.030726061928
2016_08_light_interception,-0.233646521611,-0.0900362554004,0.138611278535,-0.128810950873,0.179178370312,-0.00372785036242,0.375262752206,0.240675809477,0.123366760953,-0.0395521076532,1.0,-0.149437380288,0.210778878725,0.21151821174,0.206810482857,0.246896553698,0.0365126616669,0.242326068462,0.0195700506665,0.0158312661714,0.0161954048366,0.211433945198,0.135562835553,0.0173030693769,0.00979183669565,0.191189658607,0.175818073084,0.103760334192,0.193483066996,0.1776645354,0.100186192474,0.117947178735,0.193215018259,0.18297010954,0.198026372928,0.145283523452,0.169436063376,0.177857362494,0.164322059081,0.137581681133,0.0800271291749,0.129714883559,0.173263878213,0.109252901285,0.181756226873,0.188291753364
2016_09_light_interception,-0.103313383883,-0.0801434270654,0.0396330558934,-0.0967940943361,0.127053445246,0.104022371157,0.138541873842,0.233852129347,0.431748017013,0.293042990584,-0.149437380288,1.0,0.426516465333,0.424972433892,0.421005346144,0.374721495905,0.0934433468809,0.378606064097,-0.00372249560017,-0.00727760283511,-0.00247183191194,0.427665592134,0.174316192044,-0.00451913414964,-0.0262899941983,0.193777081879,0.204096560898,0.0518294150291,0.212883805183,0.210306615807,0.109731963589,0.219645353294,0.275278273204,0.230828819458,0.275439271229,0.260658450633,0.205489152799,0.283220165416,0.267829332941,0.349871602116,0.156269906588,0.278809509187,0.243919518567,0.341216335447,0.171433581885,0.233523193282
