Taxa,Anthesis date (days),Harvest date (days),Total fresh weight (kg),Brix (maturity),Brix (milk),Dry weight (kg),Stalk height (cm),Dry tons per acre,ADF (% DM),NDF (% DM),NFC (% DM),Lignin (% DM),Pericarp pigmentation
PI_329699,110,157,2.635,13.6,14.7,0.5675,362,18.16,34.77,52.4,44.53,4.63,NA
PI_329702,NA,157,4.168,7.05,NA,0.7725,500,24.72,53.48,77.73,17.81,9.90,Red
PI_329710,NA,154,3.220,9.4,NA,0.38,445,12.16,46.86,71.68,25.68,9.00,Brown
PI_329711,NA,158,3.448,6.55,NA,0.735,389.5,23.52,47.67,70.96,23.35,8.34,White
PI_329841,NA,157.5,3.043,12.15,NA,0.8075,460,25.84,43.6,65.88,30.15,6.99,Brown
PI_329843,NA,158,4.400,6.6,NA,1.26,395,40.32,52.43,73.86,17.31,10.33,Red
PI_329864,114.5,157,2.733,13.7,12.55,0.7325,409.5,23.44,41.19,61.02,33.63,7.23,Red
PI_329865,134,157.5,4.243,8.85,NA,0.78,400,24.96,42.43,64.55,31.46,7.28,NA
PI_330167,134,158.5,2.955,12.15,NA,0.655,401,20.96,37.11,60.82,36.74,5.73,Mixed
PI_330168,NA,159,4.215,9.3,NA,0.8425,303.5,26.96,40.6,53.68,34.87,5.79,NA
PI_330169,NA,157,4.035,11.6,NA,0.6775,447.5,21.68,40.64,62.13,34.73,7.11,White
PI_330181,NA,163,2.745,12.2,NA,1.75,490,56,47.01,66.41,29.1,7.72,White
PI_330182,NA,158,3.103,14,NA,1.435,500,45.92,46.55,67.02,29.19,7.68,Yellow
PI_330184,NA,157,1.598,10.85,NA,0.4925,405,15.76,47.34,69.65,24.41,8.57,Red
PI_330185,129,152,3.140,11.3,9.8,1.075,405,34.4,42.76,63.98,32.32,6.82,Yellow
PI_330195,134,159,2.333,12.3,NA,0.485,383,15.52,43.61,65.43,28.99,6.70,Red
PI_330196,NA,155,2.545,8.3,NA,0.505,485,16.16,52.06,78.68,16.13,8.90,Red
PI_330199,93,135,1.155,11.4,8.6,0.2975,473.5,9.52,45.13,65.18,29.59,6.74,Brown
PI_330796,134,158,3.290,7,NA,0.5825,392.5,18.64,47.36,71.65,21.7,7.53,White
PI_330803,NA,158.5,2.855,5.25,NA,0.565,433,18.08,52.58,78.17,18.09,10.17,White
PI_330807,NA,158.5,2.945,5.7,NA,0.33,238.5,10.56,44.94,66.15,26.81,6.52,White
PI_330833,NA,159,3.775,7.9,NA,0.5475,455,17.52,50.68,72.5,22.23,8.83,NA
PI_330858,NA,158,2.783,7.45,NA,0.565,390.5,18.08,48.62,70.78,25,7.96,White
PI_337680,NA,162,4.545,4.1,NA,0.425,334.5,13.6,53.28,73.5,15.88,8.61,White
PI_337689,110,157.5,3.630,8.9,10,0.7825,337.5,25.04,47.35,70.12,25.66,7.94,NA
PI_35038,74.5,118.5,1.578,9.05,11.4,0.285,232.5,9.12,NA,NA,NA,NA,Red
PI_365512,71,117,0.453,9.35,10.1,0.085,90,2.72,44.99,66.97,19.56,5.20,Brown
PI_452542,NA,159,6.230,12.8,NA,0.77,522,24.64,53.98,78.98,14.49,9.43,White
PI_452544,NA,157,8.005,6.3,NA,1.0975,482,35.12,42.45,64.75,29.08,6.36,NA
PI_452619,NA,NA,NA,NA,NA,NA,NA,NA,45.26,64.66,31.87,7.45,NA
PI_452692,NA,156.5,4.413,8,NA,1,436.5,32,48.63,70.05,25.27,7.96,Brown
PI_453106,NA,162,3.170,10.2,NA,NA,470,NA,NA,NA,NA,NA,Brown
PI_453177,NA,157.5,3.340,5.7,NA,0.365,392.5,11.68,49.35,69.67,22.31,7.67,NA
PI_453696,NA,153,4.735,8.2,NA,1.265,NA,40.48,44.98,68.85,28.35,7.67,Yellow
PI_455217,NA,157.5,4.558,8.65,NA,0.995,535,31.84,47.4,69.73,26.03,8.06,NA
PI_455221,NA,159.5,3.353,10.9,NA,0.495,491.5,15.84,52.32,74.08,21.87,9.53,NA
PI_455280,NA,154,3.435,6.3,NA,0.44,400,14.08,41.75,60.47,29.11,6.61,NA
PI_455301,134,157,3.973,9.85,NA,0.64,458,20.48,40.59,62.42,33.01,6.08,NA
PI_455307,NA,158,4.140,6.3,NA,0.5775,499.5,18.48,52.44,76.02,18.97,9.22,NA
PI_505717,NA,157.5,3.003,8.7,NA,0.47,465,15.04,48.92,73.99,20.89,9.11,White
PI_505722,NA,158.5,3.055,9.55,NA,0.51,412.5,16.32,46.23,70.96,23.27,7.74,NA
PI_505735,97,156,2.175,13.1,14.9,0.54,374,17.28,NA,NA,NA,NA,NA
PI_506030,NA,157,2.350,9.5,NA,0.4025,415,12.88,49.5,72.88,21.56,7.61,White
PI_506069,NA,159,2.523,7.9,NA,0.365,408.5,11.68,51.44,74.65,19.28,7.82,Yellow
PI_506114,NA,157,3.443,5.25,NA,0.35,367.5,11.2,54.52,77.16,16.07,9.68,NA
PI_506122,NA,158,1.578,6.4,NA,0.415,322,13.28,51.77,75.45,18.07,9.40,NA
PI_508366,NA,156,2.960,6.35,NA,0.4025,418,12.88,49.97,72.79,19.49,8.69,White
PI_510757,NA,157,3.298,7.15,NA,0.555,313,17.76,40.74,62.13,30.7,6.72,White
PI_511355,110,157,2.178,14.45,15.6,0.615,308.5,19.68,30.1,47.45,47.29,4.41,NA
PI_513898,NA,159,1.693,6.9,NA,0.2125,341.5,6.8,50.96,74.02,16.48,8.09,White
PI_514456,NA,157,2.458,7,NA,0.5025,458.5,16.08,50.49,74.16,22.87,9.19,White
PI_521019,NA,155.5,3.388,8.65,NA,0.5,408.5,16,42.37,64.96,30.32,7.64,Red
PI_521152,NA,158,3.103,9.7,NA,0.51,362,16.32,48.24,71.56,23.19,7.39,Yellow
PI_521280,NA,158.5,2.513,7.8,NA,0.465,387,14.88,49.21,72.07,21.49,7.81,Brown
PI_521281,NA,159,2.883,7.35,NA,0.4925,362.5,15.76,45.57,67.17,25.53,5.92,Brown
PI_521290,NA,158.5,2.405,11.3,NA,0.51,396,16.32,50.7,72.4,21.27,8.55,NA
PI_524475,NA,157.5,3.735,5.45,NA,0.2875,301.5,9.2,44.84,67.26,26.4,5.70,White
PI_525049,NA,158,2.768,8.15,NA,0.57,415.5,18.24,53.07,78.97,17.6,10.41,NA
PI_52606,76.5,124.5,0.918,8,6.2,0.1125,154,3.6,48.38,64.15,22.97,5.52,NA
PI_526905,77,117,1.015,9.9,10.55,0.155,121,4.96,40.27,63.19,27.63,4.52,Brown
PI_527045,76,127.5,0.900,10.15,10.35,0.1825,140.5,5.84,38.43,59.04,30.06,5.02,Brown
PI_533792,82,134,0.275,6.9,7.6,0.0975,89.5,3.12,41.17,75.26,15.18,5.35,Brown
PI_533902,76.5,104,1.028,6.25,5.65,0.1675,162.5,5.36,45.79,70.26,11.35,5.21,Red
PI_533998,85.5,110.5,0.283,10.55,9.6,0.085,183.5,2.72,38.4,63.99,24.29,5.34,Brown
PI_534120,78.5,118.5,0.575,9.2,5.15,0.1325,101,4.24,43.43,73.26,11.59,4.37,Brown
PI_534165,72,112,0.855,8,8.3,0.12,62,3.84,45.54,72.43,14.78,5.03,White
PI_535783,70,104,1.220,13.2,13.45,0.3775,187,12.08,16.34,47.32,45.67,5.85,Brown
PI_535785,83,118.5,1.540,14.75,13.5,0.365,239.5,11.68,NA,NA,NA,NA,White
PI_535792,75,108,0.613,5.9,7.35,0.1425,101.5,4.56,38.23,66.45,18.23,3.66,Brown
PI_535793,80,118.5,0.925,12.1,9.4,0.175,146,5.6,29.67,54.29,40.11,5.23,White
PI_535794,72,118.5,0.760,12.55,9.9,0.1625,114,5.2,NA,NA,NA,NA,White
PI_535795,69,104,1.408,14,11.85,0.335,206,10.72,22,44.81,50.94,3.13,Brown
PI_535796,72.5,104,1.835,10.65,11.75,0.42,152.5,13.44,15.05,54.87,45.67,4.18,Red
PI_540518,69,108,0.535,5.35,7.1,0.1475,249,4.72,46.87,79.99,10.44,5.23,Yellow
PI_542718,68,104,0.610,3.95,8.9,0.1525,140.5,4.88,46.39,73.93,18.86,6.95,Red
PI_550604,69,104,0.618,7,9.35,0.115,137.5,3.68,41.47,74.73,19.84,5.44,NA
PI_552851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow
PI_561840,74.5,110.5,0.845,4.85,9.45,0.1225,172,3.92,45.82,72.52,14.21,5.40,NA
PI_562717,89,125,0.320,9.75,8.35,0.2125,300,6.8,44.63,69.01,24.67,7.11,Brown
PI_562730,105,159,1.795,10.65,11.45,0.47,467,15.04,49.74,73.13,23.61,8.34,Brown
PI_562732,NA,156,6.013,13.2,NA,1.0575,504,33.84,39.61,61.69,34.76,6.38,NA
PI_562781,NA,158,3.095,8.65,NA,0.425,407.5,13.6,50,72.96,21.05,9.22,White
PI_562897,NA,158.5,1.458,7.75,NA,0.35,370,11.2,49.3,74.28,18.22,7.73,White
PI_562970,NA,159.5,2.618,7.3,NA,0.3875,375.5,12.4,52.2,74.67,18.24,8.89,White
PI_562971,NA,156.5,2.433,7.3,NA,0.325,293,10.4,48.33,69.71,20.29,7.68,White
PI_562981,NA,156,2.198,6.5,NA,0.365,273,11.68,49.62,71.78,20.57,8.82,White
PI_562982,NA,158.5,1.928,6,NA,0.2975,356.5,9.52,52.51,74.15,17.73,9.14,Yellow
PI_562985,NA,154,2.340,5.55,NA,0.385,359,12.32,49.7,70.15,18.12,9.23,Red
PI_562990,NA,157.5,2.218,6,NA,0.245,372.5,7.84,46,65.85,25.51,7.50,Red
PI_562991,NA,156,3.238,6.25,NA,0.3525,362,11.28,53.39,77.58,15.75,8.78,White
PI_562994,NA,158.5,2.363,6.55,NA,0.31,385.5,9.92,50.73,73.33,17.95,8.68,Red
PI_562997,NA,159,2.075,6.6,NA,0.3275,390.5,10.48,45.79,68.65,24.53,6.91,Red
PI_562998,NA,157,2.100,6.35,NA,0.2475,296.5,7.92,43.22,63.22,28.63,7.01,Red
PI_563002,NA,157,2.163,5.2,NA,0.1925,271.5,6.16,47.99,68.99,21.54,7.59,Red
PI_563006,NA,158,3.528,8.3,NA,0.6,433,19.2,53.14,77.32,17.89,10.59,Yellow
PI_563009,NA,156,1.925,6.6,NA,0.335,350.5,10.72,50.75,74.11,19.69,9.15,White
PI_563020,NA,159.5,2.178,6.05,NA,0.34,337.5,10.88,47.89,69.61,22.97,8.26,White
PI_563021,NA,158.5,1.815,6.9,NA,0.36,364,11.52,49.73,71.46,21.95,8.19,Red
PI_563022,NA,159.5,2.645,6.25,NA,0.4,356,12.8,50.65,72.05,17.8,8.98,Red
PI_563032,110,158,1.858,10.7,10.5,0.5475,296.5,17.52,29.84,50,48.01,4.09,Brown
PI_563196,NA,155,2.275,9.7,NA,0.515,411,16.48,45.42,66.48,29.17,7.09,Brown
PI_563222,134,155.5,2.993,8.55,NA,0.6975,326,22.32,41,63.76,29.47,5.55,Red
PI_563295,124,157.5,2.315,12.6,13.3,0.3575,281.5,11.44,33.62,50.12,44.81,4.73,Brown
PI_563329,NA,155,5.800,11.38,NA,0.895,460,28.64,42.55,63.97,33.13,6.85,NA
PI_563330,NA,157.5,4.745,11.55,NA,1.225,448,39.2,46.33,67.7,28.74,8.67,Yellow
PI_563331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red
PI_563332,NA,156.5,3.983,8.9,NA,1.11,486.5,35.52,47.7,70.59,26.85,7.75,Yellow
PI_563338,NA,159,2.935,8.3,NA,0.665,457.5,21.28,50.31,72.21,22.34,8.34,White
