 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw30, ,0.10836,0.032304,0.061669,0.061472,0.093419,0.050583,0.041355,0.056,0.051842,0.041946,0.045149,0.069449,0.036342,0.055329,0.051764,0.032063,0.052649,0.036597,0.048388,0.08239,0.054652,0.064659,0.056924,0.059048,0.049121,0.057827,0.045644,0.038379,0.044434,0.041883,0.039771
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw37, , ,0.032414,0.056475,0.13245,0.050873,0.043673,0.063098,0.04453,0.059827,0.051012,0.041341,0.030669,0.042096,0.050339,0.027381,0.050186,0.06289,0.063626,0.027186,0.052233,0.039176,0.048416,0.040885,0.042402,0.048366,0.044934,0.055543,0.049814,0.049099,0.063709, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw42, , ,0.087475,0.040966,0.046908,0.029884,0.038799,0.040974,0.024195,0.044169,0.078464,0.059985,0.069962,0.080498,0.042766,0.062641, , ,0.052844,0.032597,0.040268,0.079995,0.03196,0.03068,0.044653,0.028947,0.0445,0.027544,0.033014,0.046784,0.037831,0.061975
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw47,0.064482,0.056038,0.039854,0.067117,0.041991,0.036869,0.031122,0.07055,0.046189,0.055416,0.054476,0.067702,0.04769,0.059787,0.030411,0.045994,0.051007,0.047696,0.046293,0.042326,0.053733,0.063221,0.054236,0.029524,0.029228,0.029415,0.048015,0.037602,0.046204,0.044007, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw51, , , , , , , , , , , , , , , , , , , , , , ,0.032134,0.049158,0.048776,0.06235,0.038051,0.035174,0.05742,0.041757,0.051289,0.046601
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw55,0.036962,0.029355,0.05457,0.066951,0.064129,0.10738, ,0.033738,0.072567,0.047655,0.088582,0.03206,0.045604,0.04581,0.093176,0.076012,0.043295,0.068111,0.047789,0.083773,0.033053,0.05441,0.065885,0.066347,0.072779,0.057165,0.061941,0.041919,0.056962, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw58, ,0.06727,0.044814,0.030585,0.042595,0.046676,0.071897,0.04166,0.063897,0.058467,0.066325,0.048417,0.051105,0.046261,0.042727,0.042547,0.052996,0.04327,0.040095,0.048135,0.039202,0.031592,0.048287,0.048406,0.035868,0.044472,0.071854,0.080575,0.033182,0.063232,0.052557,0.038107
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw63, ,0.099956,0.03527,0.064352,0.045387,0.058238,0.038864,0.029966,0.041076, , ,0.065529,0.047269,0.056982,0.030376,0.058987,0.037996,0.069145,0.056748,0.057261,0.062496,0.062739,0.066998,0.068603,0.049453,0.047596,0.065683,0.071988,0.071534,0.040405, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65, , ,0.051843,0.02344,0.040366,0.065711,0.069105,0.082151,0.07664,0.054337,0.057794,0.044593,0.046686,0.042088,0.037793,0.04545,0.034858,0.059292,0.056562,0.03323,0.054476, ,0.038425,0.035004,0.04409,0.036227,0.047365,0.036816,0.049997,0.061868,0.068607,0.068177
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw71, , ,0.029716,0.040661,0.059224,0.044707,0.062541,0.070775,0.032877,0.028614,0.062011,0.034602,0.035465,0.031311,0.029153,0.041292,0.022659,0.025415,0.059067,0.021329,0.021921,0.027365,0.028551,0.023254,0.027048,0.044943,0.022771,0.035368,0.024548,0.068781, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw73, , ,0.027161,0.081335,0.024191,0.035609,0.081559,0.079651,0.060668,0.061756,0.062041,0.080776,0.067048,0.076917,0.068292,0.078082,0.085241,0.045638,0.024655,0.068674,0.025732,0.044684,0.053565,0.055146,0.06301,0.074259,0.071415, ,0.078316,0.049759,0.041675,0.042943
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw81, , ,0.076631,0.038664,0.056018,0.066955,0.055974,0.050874,0.062235,0.078348,0.074674,0.075988,0.054089,0.030617,0.056519,0.057725,0.064811,0.043856,0.029719,0.089955,0.046761,0.052902,0.075133,0.054986,0.059919,0.057426,0.074623,0.052939,0.065078,0.05701,0.030341, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw89, , , , ,0.050569,0.071396,0.057326,0.037758,0.045025,0.092125,0.082505,0.079937,0.065378,0.081952,0.079903,0.062013,0.072943,0.062499,0.075497,0.076443,0.080115, ,0.037831,0.063461,0.053722,0.05361,0.053782,0.03064, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw93, , , , , ,0.064552,0.03324,0.046858,0.02719,0.064189,0.032189,0.085137,0.047499,0.063064,0.073014,0.055866,0.037555,0.038534,0.032563,0.037176,0.066925,0.04198,0.051245,0.055937,0.020997,0.075716,0.035979,0.020358, , , , 
