Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r1-p0003,1,3,72,68,82,0.35,0.30,0.23,31,34,24,
SF-BE-r1-p0007,1,7,229,233,221,1.35,1.27,1.04,25,24,23,
SF-BE-r1-p0011,1,11,165,174,165,0.65,0.61,0.54,13,20,18,
SF-BE-r1-p0015,1,15,161,184,183,0.22,0.19,0.16,22,23,23,
SF-BE-r1-p0019,1,19,197,224,177,1.45,NA,1.22,NA,NA,NA,
SF-BE-r1-p0023,1,23,146,139,158,1.12,NA,0.85,NA,NA,NA,
SF-BE-r1-p0027,1,27,219,185,239,1.33,NA,1.11,NA,NA,NA,
SF-BE-r1-p0031,1,31,237,214,244,1.12,0.87,0.81,45,39,42,
SF-BE-r1-p0035,1,35,152,120,140,1.24,NA,1.02,NA,NA,NA,
SF-BE-r1-p0039,1,39,151,139,118,1.48,NA,1.22,NA,NA,NA,
SF-BE-r1-p0043,1,43,101,120,119,1.30,NA,1.02,NA,NA,NA,
SF-BE-r1-p0047,1,47,130,137,120,0.97,NA,0.82,NA,NA,NA,
SF-BE-r1-p0051,2,3,75,73,70,0.15,0.10,0.05,16,17,16,
SF-BE-r1-p0055,2,7,140,146,136,0.38,0.34,0.30,18,18,15,
SF-BE-r1-p0059,2,11,230,245,225,0.51,0.50,0.42,20,19,15,
SF-BE-r1-p0063,2,15,260,259,255,1.18,1.15,1.06,18,17,18,
SF-BE-r1-p0067,2,19,143,167,108,0.99,NA,0.78,NA,NA,NA,
SF-BE-r1-p0071,2,23,89,104,104,0.70,NA,0.51,NA,NA,NA,
SF-BE-r1-p0075,2,27,235,233,235,0.82,0.81,0.71,19,19,20,
SF-BE-r1-p0079,2,31,162,128,144,1.87,NA,1.52,NA,NA,NA,
SF-BE-r1-p0083,2,35,247,230,262,1.33,1.26,1.08,16,14,17,
SF-BE-r1-p0087,2,39,87,82,86,0.83,NA,0.62,NA,NA,NA,
SF-BE-r1-p0091,2,43,201,143,131,1.09,NA,0.88,NA,NA,NA,
SF-BE-r1-p0095,2,47,104,108,88,1.00,NA,0.79,NA,NA,NA,
SF-BE-r1-p0099,3,3,134,125,130,0.45,0.41,0.37,15,16,14,
SF-BE-r1-p0103,3,7,183,190,182,0.77,0.65,0.63,33,30,31,
SF-BE-r1-p0107,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0111,3,15,152,142,141,0.35,0.30,0.29,20,19,14,
SF-BE-r1-p0115,3,19,109,109,107,0.99,NA,0.78,NA,NA,NA,
SF-BE-r1-p0119,3,23,144,135,124,0.81,NA,0.63,NA,NA,NA,
SF-BE-r1-p0123,3,27,126,127,149,0.84,NA,0.68,NA,NA,NA,
SF-BE-r1-p0127,3,31,146,150,151,1.46,NA,1.18,NA,NA,NA,
SF-BE-r1-p0131,3,35,74,73,77,0.64,NA,0.51,NA,NA,NA,
SF-BE-r1-p0135,3,39,65,66,60,0.84,NA,0.63,NA,NA,NA,
SF-BE-r1-p0139,3,43,121,113,104,1.17,NA,0.94,NA,NA,NA,
SF-BE-r1-p0143,3,47,123,135,117,0.84,NA,0.66,NA,NA,NA,
SF-BE-r1-p0147,4,3,105,102,103,0.20,0.10,0.10,29,27,29,
SF-BE-r1-p0151,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0155,4,11,259,231,260,0.87,0.86,0.82,24,24,20,
SF-BE-r1-p0159,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0163,4,19,228,234,240,1.39,NA,1.14,NA,NA,NA,
SF-BE-r1-p0167,4,23,131,132,131,1.09,NA,0.95,NA,NA,NA,
SF-BE-r1-p0171,4,27,110,103,111,0.79,NA,0.63,NA,NA,NA,
SF-BE-r1-p0175,4,31,228,222,225,2.15,NA,1.82,NA,NA,NA,
SF-BE-r1-p0179,4,35,141,162,159,1.09,NA,0.93,NA,NA,NA,
SF-BE-r1-p0183,4,39,150,179,128,1.35,NA,1.13,NA,NA,NA,
SF-BE-r1-p0187,4,43,172,163,160,2.13,NA,1.74,NA,NA,NA,
SF-BE-r1-p0191,4,47,203,197,190,1.26,NA,1.06,NA,NA,NA,
SF-BE-r1-p0195,5,3,85,98,99,0.72,0.59,0.42,32,34,35,
SF-BE-r1-p0199,5,7,185,165,158,0.82,0.77,0.73,18,15,16,
SF-BE-r1-p0203,5,11,183,181,194,0.65,0.56,0.50,22,23,23,
SF-BE-r1-p0207,5,15,295,296,270,1.29,1.25,1.10,26,21,23,
SF-BE-r1-p0211,5,19,143,134,108,1.46,NA,1.26,NA,NA,NA,
SF-BE-r1-p0215,5,23,154,138,113,0.91,NA,0.74,NA,NA,NA,
SF-BE-r1-p0219,5,27,274,264,273,1.38,1.36,1.19,15,13,15,
SF-BE-r1-p0223,5,31,147,193,197,1.40,NA,1.22,NA,NA,NA,
SF-BE-r1-p0227,5,35,93,91,79,0.96,NA,0.80,NA,NA,NA,
SF-BE-r1-p0231,5,39,222,240,195,1.99,NA,1.68,NA,NA,NA,
SF-BE-r1-p0235,5,43,165,180,182,0.40,0.34,0.33,39,26,26,
SF-BE-r1-p0239,5,47,150,131,138,0.83,NA,0.66,NA,NA,NA,
SF-BE-r1-p0243,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0247,6,7,261,261,277,2.27,2.17,1.91,26,21,23,
SF-BE-r1-p0251,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0255,6,15,228,232,268,1.21,0.97,0.87,46,42,46,
SF-BE-r1-p0259,6,19,110,110,111,0.70,NA,0.56,NA,NA,NA,
SF-BE-r1-p0263,6,23,135,127,140,1.52,NA,1.20,NA,NA,NA,
SF-BE-r1-p0267,6,27,175,174,139,1.56,NA,1.27,NA,NA,NA,
SF-BE-r1-p0271,6,31,150,131,132,2.15,NA,1.84,NA,NA,NA,
SF-BE-r1-p0275,6,35,91,81,111,1.17,NA,0.95,NA,NA,NA,
SF-BE-r1-p0279,6,39,208,202,194,1.29,NA,1.12,NA,NA,NA,
SF-BE-r1-p0283,6,43,136,153,163,0.94,NA,0.78,NA,NA,NA,
SF-BE-r1-p0287,6,47,116,147,154,1.60,NA,1.30,NA,NA,NA,
SF-BE-r1-p0291,7,3,147,142,152,0.39,0.30,0.27,16,20,20,
SF-BE-r1-p0295,7,7,234,194,240,0.84,0.62,0.57,48,46,39,
SF-BE-r1-p0299,7,11,187,182,197,1.03,0.95,0.83,16,18,19,
SF-BE-r1-p0303,7,15,198,188,202,0.55,0.50,0.45,24,24,26,
SF-BE-r1-p0307,7,19,102,97,92,0.93,NA,0.76,NA,NA,NA,
SF-BE-r1-p0311,7,23,230,199,231,1.99,NA,1.74,NA,NA,NA,
SF-BE-r1-p0315,7,27,113,135,136,0.87,NA,0.69,NA,NA,NA,
SF-BE-r1-p0319,7,31,129,154,143,1.26,NA,1.09,NA,NA,NA,
SF-BE-r1-p0323,7,35,171,152,153,1.98,NA,1.68,NA,NA,NA,
SF-BE-r1-p0327,7,39,102,82,88,0.49,NA,0.40,NA,NA,NA,
SF-BE-r1-p0331,7,43,65,81,103,0.61,NA,0.43,NA,NA,NA,
SF-BE-r1-p0335,7,47,94,95,99,0.70,NA,0.61,NA,NA,NA,
SF-BE-r1-p0339,8,3,110,106,100,0.64,0.52,0.47,17,19,20,
SF-BE-r1-p0343,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0347,8,11,200,208,221,0.63,0.56,0.52,28,28,30,
SF-BE-r1-p0351,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Over mature
SF-BE-r1-p0355,8,19,163,176,180,1.58,NA,1.28,NA,NA,NA,
SF-BE-r1-p0359,8,23,183,181,181,1.11,NA,0.91,NA,NA,NA,
SF-BE-r1-p0363,8,27,214,201,207,1.30,1.14,0.94,16,17,20,
SF-BE-r1-p0367,8,31,124,113,113,1.13,NA,0.80,NA,NA,NA,
SF-BE-r1-p0371,8,35,220,237,211,2.28,NA,1.98,NA,NA,NA,
SF-BE-r1-p0375,8,39,144,155,150,2.31,NA,1.91,NA,NA,NA,
SF-BE-r1-p0379,8,43,100,117,95,1.06,NA,0.82,NA,NA,NA,
SF-BE-r1-p0383,8,47,115,130,130,1.06,NA,0.86,NA,NA,NA,
SF-BE-r1-p0387,9,3,109,118,118,0.23,0.19,0.17,24,18,17,
SF-BE-r1-p0391,9,7,183,184,157,0.73,0.62,0.60,23,24,25,
SF-BE-r1-p0395,9,11,175,175,150,0.52,0.44,0.40,22,24,21,
SF-BE-r1-p0399,9,15,241,238,246,0.50,0.43,0.38,28,32,29,
SF-BE-r1-p0403,9,19,94,97,95,0.90,NA,0.67,NA,NA,NA,
SF-BE-r1-p0407,9,23,200,194,196,1.65,NA,1.42,NA,NA,NA,
SF-BE-r1-p0411,9,27,199,201,199,2.12,NA,1.83,NA,NA,NA,
SF-BE-r1-p0415,9,31,140,124,138,0.96,NA,0.80,NA,NA,NA,
SF-BE-r1-p0419,9,35,118,150,155,1.64,NA,1.37,NA,NA,NA,
SF-BE-r1-p0423,9,39,135,128,128,1.41,NA,1.16,NA,NA,NA,
SF-BE-r1-p0427,9,43,79,71,77,1.12,NA,0.88,NA,NA,NA,
SF-BE-r1-p0431,9,47,101,86,93,1.20,NA,0.96,NA,NA,NA,
SF-BE-r1-p0435,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Looked like mixed plot
SF-BE-r1-p0439,10,7,280,277,283,1.44,1.39,1.29,22,21,19,
SF-BE-r1-p0443,10,11,292,300,310,0.83,0.82,0.76,24,24,22,
SF-BE-r1-p0447,10,15,256,241,234,1.22,1.13,1.08,19,22,22,
SF-BE-r1-p0451,10,19,243,254,237,2.03,NA,1.81,NA,NA,NA,
SF-BE-r1-p0455,10,23,235,213,231,1.62,NA,1.40,NA,NA,NA,
SF-BE-r1-p0459,10,27,183,166,167,1.52,NA,1.33,NA,NA,NA,
SF-BE-r1-p0463,10,31,146,148,160,1.40,NA,1.19,NA,NA,NA,
SF-BE-r1-p0467,10,35,104,94,79,0.70,NA,0.54,NA,NA,NA,
SF-BE-r1-p0471,10,39,158,135,152,1.54,NA,1.26,NA,NA,NA,
SF-BE-r1-p0475,10,43,146,172,156,1.26,NA,1.07,NA,NA,NA,
SF-BE-r1-p0479,10,47,282,261,270,1.25,1.19,1.07,9,10,11,
SF-BE-r1-p0483,11,3,128,126,132,0.29,0.18,0.16,32,32,28,
SF-BE-r1-p0487,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0491,11,11,218,219,219,1.98,1.95,1.79,13,16,16,
SF-BE-r1-p0495,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0499,11,19,153,153,157,1.19,NA,1.02,NA,NA,NA,
SF-BE-r1-p0503,11,23,215,182,213,1.72,NA,1.46,NA,NA,NA,
SF-BE-r1-p0507,11,27,153,182,182,1.36,NA,1.12,NA,NA,NA,
SF-BE-r1-p0511,11,31,173,168,165,1.60,NA,1.35,NA,NA,NA,
SF-BE-r1-p0515,11,35,131,130,137,0.62,0.52,0.47,20,18,17,
SF-BE-r1-p0519,11,39,195,228,284,0.84,NA,0.76,NA,NA,NA,
SF-BE-r1-p0523,11,43,188,216,190,1.43,NA,1.12,NA,NA,NA,
SF-BE-r1-p0527,11,47,190,199,182,1.10,1.08,0.84,12,12,13,
SF-BE-r1-p0531,12,3,66,66,64,0.18,0.12,0.09,13,12,13,
SF-BE-r1-p0535,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0539,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0543,12,15,258,271,285,2.28,2.19,1.96,33,34,29,
SF-BE-r1-p0547,12,19,228,235,227,1.82,NA,1.58,NA,NA,NA,
SF-BE-r1-p0551,12,23,299,305,255,2.02,NA,1.74,NA,NA,NA,
SF-BE-r1-p0555,12,27,157,166,165,1.18,NA,0.97,NA,NA,NA,
SF-BE-r1-p0559,12,31,252,286,283,1.35,NA,1.12,NA,NA,NA,
SF-BE-r1-p0563,12,35,168,197,199,1.38,NA,1.18,NA,NA,NA,
SF-BE-r1-p0567,12,39,252,228,263,2.57,NA,2.07,NA,NA,NA,
SF-BE-r1-p0571,12,43,242,247,216,1.03,1.02,0.84,13,18,20,
SF-BE-r1-p0575,12,47,212,206,215,1.33,NA,1.16,NA,NA,NA,
SF-BE-r1-p0579,13,3,125,146,141,0.28,0.12,0.11,22,20,16,
SF-BE-r1-p0583,13,7,216,187,197,0.65,0.60,0.54,17,15,16,
SF-BE-r1-p0587,13,11,211,223,206,0.68,0.68,0.54,5,5,7,
SF-BE-r1-p0591,13,15,191,181,192,0.93,0.88,0.73,18,17,15,
SF-BE-r1-p0595,13,19,171,136,171,1.11,NA,0.93,NA,NA,NA,
SF-BE-r1-p0599,13,23,290,282,276,1.88,NA,1.60,NA,NA,NA,
SF-BE-r1-p0603,13,27,227,183,206,1.44,NA,1.21,NA,NA,NA,
SF-BE-r1-p0607,13,31,263,255,284,1.09,1.07,0.93,15,12,12,
SF-BE-r1-p0611,13,35,234,231,250,1.36,1.34,1.15,13,13,13,
SF-BE-r1-p0615,13,39,229,230,214,1.68,NA,1.44,NA,NA,NA,
SF-BE-r1-p0619,13,43,74,98,91,0.76,NA,0.57,NA,NA,NA,
SF-BE-r1-p0623,13,47,79,64,77,1.04,NA,0.80,NA,NA,NA,
SF-BE-r1-p0627,14,3,132,128,127,0.18,0.15,0.15,21,20,16,
SF-BE-r1-p0631,14,7,202,207,217,0.52,0.44,0.40,23,22,26,
SF-BE-r1-p0635,14,11,201,200,197,0.68,0.61,0.58,19,19,19,
SF-BE-r1-p0639,14,15,226,224,241,0.73,0.67,0.64,24,25,21,
SF-BE-r1-p0643,14,19,101,108,97,0.55,NA,0.48,NA,NA,NA,
SF-BE-r1-p0647,14,23,232,206,217,1.35,NA,1.18,NA,NA,NA,
SF-BE-r1-p0651,14,27,232,215,214,1.36,NA,1.20,NA,NA,NA,
SF-BE-r1-p0655,14,31,149,146,145,1.55,NA,1.33,NA,NA,NA,
SF-BE-r1-p0659,14,35,216,246,240,1.03,NA,0.82,NA,NA,NA,
SF-BE-r1-p0663,14,39,162,156,155,1.11,NA,0.86,NA,NA,NA,
SF-BE-r1-p0667,14,43,70,103,95,1.24,NA,1.06,NA,NA,NA,
SF-BE-r1-p0671,14,47,119,104,102,0.99,NA,0.83,NA,NA,NA,
SF-BE-r1-p0675,15,3,143,142,140,0.55,0.39,0.36,17,17,17,
SF-BE-r1-p0679,15,7,250,245,249,1.27,1.22,1.15,21,20,18,
SF-BE-r1-p0683,15,11,310,350,323,0.77,0.72,0.66,45,55,50,
SF-BE-r1-p0687,15,15,296,281,276,1.70,1.66,1.50,16,18,16,
SF-BE-r1-p0691,15,19,305,315,320,1.69,1.63,1.45,18,17,17,
SF-BE-r1-p0695,15,23,182,196,191,1.28,NA,1.04,NA,NA,NA,
SF-BE-r1-p0699,15,27,160,158,170,1.05,NA,0.86,NA,NA,NA,
SF-BE-r1-p0703,15,31,162,168,176,2.32,NA,1.99,NA,NA,NA,
SF-BE-r1-p0707,15,35,97,96,97,0.60,NA,0.49,NA,NA,NA,
SF-BE-r1-p0711,15,39,88,70,82,0.97,NA,0.74,NA,NA,NA,
SF-BE-r1-p0715,15,43,91,81,87,0.66,NA,0.53,NA,NA,NA,
SF-BE-r1-p0719,15,47,62,56,66,0.57,NA,0.48,NA,NA,NA,
SF-BE-r1-p0723,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed plot
SF-BE-r1-p0727,16,7,239,253,233,0.69,0.64,0.58,23,23,19,
SF-BE-r1-p0731,16,11,155,153,151,0.63,0.60,0.47,17,18,13,
SF-BE-r1-p0735,16,15,204,202,242,1.00,0.93,0.87,27,19,17,
SF-BE-r1-p0739,16,19,186,152,171,1.58,NA,1.31,NA,NA,NA,
SF-BE-r1-p0743,16,23,103,90,83,1.34,NA,1.07,NA,NA,NA,
SF-BE-r1-p0747,16,27,81,88,86,0.13,0.05,0.04,22,20,18,
SF-BE-r1-p0751,16,31,214,219,170,0.78,0.56,0.52,42,32,44,
SF-BE-r1-p0755,16,35,164,158,138,1.30,NA,1.05,NA,NA,NA,
SF-BE-r1-p0759,16,39,78,74,81,0.95,NA,0.78,NA,NA,NA,
SF-BE-r1-p0763,16,43,112,151,102,0.60,NA,0.52,NA,NA,NA,
SF-BE-r1-p0767,16,47,157,119,144,1.20,NA,1.02,NA,NA,NA,
SF-BE-r1-p0771,17,3,117,124,128,0.60,0.42,0.35,20,20,20,
SF-BE-r1-p0775,17,7,277,282,266,2.06,1.99,1.86,21,24,17,
SF-BE-r1-p0779,17,11,228,222,242,1.63,1.57,1.48,20,19,22,
SF-BE-r1-p0783,17,15,165,165,167,0.52,0.35,0.32,33,23,31,
SF-BE-r1-p0787,17,19,134,126,121,0.97,NA,0.84,NA,NA,NA,
SF-BE-r1-p0791,17,23,144,120,110,2.06,NA,1.60,NA,NA,NA,
SF-BE-r1-p0795,17,27,200,169,190,2.32,NA,1.97,NA,NA,NA,
SF-BE-r1-p0799,17,31,133,143,149,1.00,NA,0.79,NA,NA,NA,
SF-BE-r1-p0803,17,35,124,124,144,0.99,NA,0.78,NA,NA,NA,
SF-BE-r1-p0807,17,39,196,188,178,0.92,NA,0.80,NA,NA,NA,
SF-BE-r1-p0811,17,43,67,68,72,0.58,NA,0.43,NA,NA,NA,
SF-BE-r1-p0815,17,47,131,112,128,1.25,NA,1.02,NA,NA,NA,
SF-BE-r1-p0819,18,3,79,74,70,0.10,0.04,0.03,15,17,21,
SF-BE-r1-p0823,18,7,210,217,219,1.06,0.92,0.90,21,24,27,
SF-BE-r1-p0827,18,11,229,219,264,0.63,0.63,0.60,21,18,24,
SF-BE-r1-p0831,18,15,225,214,227,1.67,1.61,1.52,17,16,15,
