Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r1-p1219,26,19,168,136,131,1.25,NA,1.07,NA,NA,NA,
SF-BE-r1-p1223,26,23,283,291,270,2.58,2.54,2.15,22,21,20,
SF-BE-r1-p1227,26,27,166,136,163,1.79,NA,1.45,NA,NA,NA,
SF-BE-r1-p1231,26,31,208,200,194,1.11,0.87,0.82,41,40,44,
SF-BE-r1-p1235,26,35,53,58,66,0.48,NA,0.37,NA,NA,NA,
SF-BE-r1-p1239,26,39,149,173,150,1.25,NA,0.99,NA,NA,NA,
SF-BE-r1-p1243,26,43,143,153,135,1.37,NA,1.15,NA,NA,NA,
SF-BE-r1-p1247,26,47,71,75,74,0.47,NA,0.39,NA,NA,NA,
SF-BE-r1-p1251,27,3,80,78,94,0.41,0.35,0.26,18,21,19,
SF-BE-r1-p1255,27,7,230,225,216,0.61,0.46,0.39,40,42,40,
SF-BE-r1-p1259,27,11,178,184,173,0.40,0.36,0.35,16,18,17,
SF-BE-r1-p1263,27,15,245,252,248,1.63,NA,1.46,NA,NA,NA,
SF-BE-r1-p1267,27,19,301,304,299,2.65,NA,2.27,NA,NA,NA,
SF-BE-r1-p1271,27,23,143,146,185,2.19,NA,1.84,NA,NA,NA,
SF-BE-r1-p1275,27,27,221,238,196,2.40,NA,2.08,NA,NA,NA,
SF-BE-r1-p1279,27,31,167,153,132,1.63,NA,1.30,NA,NA,NA,
SF-BE-r1-p1283,27,35,67,66,68,0.59,NA,0.52,NA,NA,NA,
SF-BE-r1-p1287,27,39,65,54,68,0.34,NA,0.29,NA,NA,NA,
SF-BE-r1-p1291,27,43,78,83,80,0.65,NA,0.51,NA,NA,NA,
SF-BE-r1-p1295,27,47,83,80,88,0.73,NA,0.61,NA,NA,NA,
SF-BE-r1-p1299,28,3,128,138,124,0.22,0.17,0.15,10,9,9,
SF-BE-r1-p1303,28,7,218,209,214,0.75,0.74,0.72,21,21,21,
SF-BE-r1-p1307,28,11,199,217,214,1.35,NA,1.15,NA,NA,NA,
SF-BE-r1-p1311,28,15,213,178,214,1.88,NA,1.65,NA,NA,NA,
SF-BE-r1-p1315,28,19,224,233,248,1.60,NA,1.41,NA,NA,NA,
SF-BE-r1-p1319,28,23,129,160,116,1.19,NA,1.01,NA,NA,NA,
SF-BE-r1-p1323,28,27,121,103,120,0.64,NA,0.49,NA,NA,NA,
SF-BE-r1-p1327,28,31,243,252,227,1.35,1.32,1.17,16,19,11,
SF-BE-r1-p1331,28,35,96,82,94,0.63,NA,0.55,NA,NA,NA,
SF-BE-r1-p1335,28,39,99,93,108,0.65,NA,0.53,NA,NA,NA,
SF-BE-r1-p1339,28,43,96,99,88,0.67,NA,0.55,NA,NA,NA,
SF-BE-r1-p1343,28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p1347,29,3,154,149,158,0.28,0.21,0.20,14,16,17,
SF-BE-r1-p1351,29,7,212,204,210,0.98,0.93,0.87,9,10,9,
SF-BE-r1-p1355,29,11,233,246,253,1.08,NA,0.90,NA,NA,NA,
SF-BE-r1-p1359,29,15,187,183,170,1.18,NA,0.96,NA,NA,NA,
SF-BE-r1-p1363,29,19,166,172,200,1.30,NA,1.06,NA,NA,NA,
SF-BE-r1-p1367,29,23,292,260,256,1.41,NA,1.19,NA,NA,NA,
SF-BE-r1-p1371,29,27,157,170,148,1.61,NA,1.43,NA,NA,NA,
SF-BE-r1-p1375,29,31,146,148,141,1.08,NA,0.92,NA,NA,NA,
SF-BE-r1-p1379,29,35,157,167,156,1.11,NA,0.96,NA,NA,NA,
SF-BE-r1-p1383,29,39,120,127,132,0.99,NA,0.83,NA,NA,NA,
SF-BE-r1-p1387,29,43,69,68,66,0.64,NA,0.52,NA,NA,NA,
SF-BE-r1-p1391,29,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p1395,30,3,94,103,104,0.20,0.08,0.05,18,21,17,
SF-BE-r1-p1399,30,7,217,206,218,1.21,NA,1.07,NA,NA,NA,
SF-BE-r1-p1403,30,11,175,171,156,0.42,0.37,0.33,20,19,17,
SF-BE-r1-p1407,30,15,185,189,198,1.28,NA,1.07,NA,NA,NA,
SF-BE-r1-p1411,30,19,129,150,152,1.40,NA,1.18,NA,NA,NA,
SF-BE-r1-p1415,30,23,80,96,92,0.49,NA,0.41,NA,NA,NA,
SF-BE-r1-p1419,30,27,142,140,152,0.58,NA,0.49,NA,NA,NA,
