fileName,hue,sat
Rw29Rw32Ra32.png,109.5357842974,25.4901242333
Rw33Rw36Ra01.png,88.2082508865,23.3463783529
Rw33Rw36Ra02.png,90.459166282,29.0874104854
Rw101Rw104Ra24.png,85.0622470107,35.5260485419
Rw33Rw36Ra03.png,96.1468908631,27.6688489138
Rw33Rw36Ra04.png,96.2084007561,27.7045812647
Rw33Rw36Ra05.png,105.8243157056,23.4891229478
Rw33Rw36Ra06.png,104.7089650506,29.263628417
Rw33Rw36Ra07.png,101.7699220118,30.1674849706
Rw33Rw36Ra08.png,109.1754096588,28.5393409647
Rw33Rw36Ra09.png,110.8831423194,29.4842597648
Rw33Rw36Ra10.png,97.5120276189,27.642120621
Rw33Rw36Ra11.png,109.388113944,28.7630071912
Rw33Rw36Ra12.png,109.9060610959,26.7711908954
Rw101Rw104Ra25.png,87.2766693752,26.5276945505
Rw33Rw36Ra13.png,107.3417386679,28.0457193964
Rw33Rw36Ra14.png,102.1800966192,28.1128543203
Rw33Rw36Ra15.png,93.4472530846,29.8716628403
Rw33Rw36Ra16.png,87.5858071902,25.599323327
Rw33Rw36Ra17.png,101.8542444474,32.3094522139
Rw33Rw36Ra18.png,98.5237817857,32.3030674838
Rw33Rw36Ra19.png,91.0189887509,28.609416017
Rw33Rw36Ra20.png,105.4263638775,29.0707022971
Rw33Rw36Ra21.png,95.0560676804,28.8388792095
Rw33Rw36Ra22.png,102.3673731653,24.092183459
Rw101Rw104Ra26.png,90.709726994,22.1098180004
Rw33Rw36Ra23.png,99.0482310146,26.218319216
Rw33Rw36Ra24.png,99.0865971434,29.9233326841
Rw33Rw36Ra25.png,98.7988968268,33.0627696479
Rw33Rw36Ra26.png,95.6520376205,16.4572974151
Rw33Rw36Ra27.png,114.0962852199,14.597343777
Rw33Rw36Ra28.png,105.5186818622,27.4301280458
Rw33Rw36Ra29.png,111.9027986577,22.3360902112
Rw33Rw36Ra30.png,109.4149796087,23.0861904339
Rw33Rw36Ra31.png,126.2208660009,18.1390121073
Rw33Rw36Ra32.png,125.641006086,19.8320495068
Rw101Rw104Ra27.png,107.8167585777,20.4894844803
Rw37Rw40Ra01.png,91.8000698457,23.1224911007
Rw37Rw40Ra02.png,98.5169832979,29.9347027
Rw37Rw40Ra03.png,92.8057958831,27.0937638602
Rw37Rw40Ra04.png,101.4116970791,30.9016837349
Rw37Rw40Ra05.png,106.1502312493,24.8515342506
Rw37Rw40Ra06.png,97.0901287631,27.6197978746
Rw37Rw40Ra07.png,99.9744588432,23.0145449619
Rw37Rw40Ra08.png,102.4062642917,24.7235856262
Rw37Rw40Ra09.png,95.7406136399,25.6396264057
Rw37Rw40Ra10.png,115.5441142015,22.8787664656
Rw37Rw40Ra11.png,94.8171725352,31.0096819494
Rw37Rw40Ra12.png,95.7619143457,29.2958030433
Rw37Rw40Ra13.png,96.4587640433,28.5302954341
