 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw71,0.38775,0.41688,0.16233,0.45488,0.50966,0.47117,0.61799,0.21295,0.41191,0.23811,0.39249,0.30832,0.44176,0.25016,0.36857,0.43218,0.3629,0.28932,0.38553,0.23938,0.19519,0.18167,0.28528,0.3999,0.23567,0.28081,0.29672,0.37259,0.60211,0.37342,0.22647,0.41883
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw73,0.36834,0.22656,0.49613,0.37099,0.46435,0.17427,0.46349,0.7278,0.21222,0.24886,0.42,0.443,0.30544,0.33067,0.47133,0.22227,0.38802,0.14595,0.13276,0.35372,0.18844,0.11893,0.49401,0.47353,0.21843,0.30548,0.35025,0.14927,0.10502,0.33476,0.65477,0.37361
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw79,0.53722,0.56152,0.22074,0.58612,0.59477,0.53877,0.83755,0.46386,0.50689,0.37618,0.14311,0.40881,0.49311,0.3024,0.55358,0.46568,0.56867,0.59223,0.36733,0.24048,0.34452,0.37106,0.23182,0.18658,0.39194,0.22926,0.26682,0.37211,0.21324,0.28617,0.41205,0.22174
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw81,0.18775,0.55384,0.28087,0.45548,0.45894,0.59831,0.23971,0.41801,0.38927,0.47003,0.18342,0.42533,0.62,0.36446,0.37526,0.63432,0.46158,0.28494,0.44015,0.33524,0.34055,0.16604,0.40898,0.2544,0.31811,0.1323,0.3569,0.21322,0.26659,0.35351,0.65847,0.47329
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw87, , , ,0.54569,0.45844,0.40303,0.57985,0.46282,0.7072,0.31333,0.48859,0.39235,0.51546,0.56124,0.70236,0.61254,0.69112,0.61537,0.48221,0.39959,0.60378,0.51622,0.34858,0.45524,0.56311,0.44791,0.7171,0.35966, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw89, , , ,0.44367,0.45826,0.38918,0.17909,0.14042,0.38433,0.39707,0.50129,0.28221,0.24829,0.57163,0.66504,0.68333,0.57602,0.30439,0.57223,0.40834,0.34996,0.30268,0.23541,0.21138,0.33064,0.43742,0.34808,0.52879, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw93, , , ,0.66068,0.68575,0.51982,0.56326,0.5249,0.30116,0.87125,0.45419,0.78979,0.54295,0.49748,0.57958,0.51924,0.44864,0.52603,0.44852,0.45311,0.33352,0.44803,0.58844,0.18543,0.48898,0.36627,0.51936,0.4455, , , , 
