 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw62,0.0028248,0.99956,0.66667,0.99974,0.66476,0.79394,0.86543,0.87776,0.97726,0.77794,0.96547,0.72907,0.99325,0.99847,0.9789,0.98197,0.78868,0.77456,0.53837,0.99857,0.79535,0.99988,0.99967,0.96925,0.57817,0.99985,0.99957,0.5079,0.64586,0.77604, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65, ,0.48734,0.73516,0.92742,0.57971,0.67811,0.39746,0.26731,0.38946,0.69246,0.51812,0.73936,0.73798,0.64253,0.87659,0.77791,0.96095,0.55479,0.58624,0.98811,0.58079,0.99962,0.64459,0.74571,0.54811,0.88074,0.37981,0.86899,0.51795,0.58046,0.44929,0.71633
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw71, ,0.60624,0.63856,0.31957,0.3924,0.34067,0.071098,0.30417,0.11008,0.087793,0.13649,0.060877,0.26244,0.66582,0.2766,0.41805,0.17243,0.43525,0.27639,0.079735,0.099854,0.58525,0.68313,0.36084,0.40583,0.80167,0.015548,0.57692,0.17,0.30505,0.43355,0.20642
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw73,0.010847,0.49662,0.9999,0.10589,0.10882,0.65638,0.35066,0.79443,0.38894,0.53425,0.053582,0.71407,0.36073,0.74869,0.30752,0.21004,0.38167,0.44788,0.99672,0.39399,0.20521,0.029341,0.53822,0.67295,0.0066443,0.12128,0.058983,0.73437,0.20239,0.50168,0.60955,0.99805
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw78,0.99558,0.31629,0.92484,0.73474,0.34215,0.5001,0.52675,0.59557,0.29333,0.7552,0.41669,0.7055,0.62558,0.4627,0.38573,0.42008,0.65784,0.81174,0.55198,0.34649,0.90159,0.17725,0.052591,0.41438,0.42865,0.64608,0.30814,0.61135,0.72458,0.34694,0.86464, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw81,0.74774,0.51816,0.62113,0.38541,0.59823,0.7906,0.63296,0.35639,0.51567,0.29361,0.4088,0.24188,0.55803,0.15564,0.82404,0.51177,0.079312,0.13003,0.50452,0.26112,0.41249,0.34649,0.17223,0.58164,0.015253,0.81119,0.029873,0.56068,0.3512,0.40059,0.42157,0.10787
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw88, , , ,0.14145,0.14447,0.31292,0.27233,0.17097,0.51354,0.15649,0.42679,0.21675,0.062677,0.032218,0.077187,0.65514,0.243,0.082673,0.17552,0.094475,0.387,0.42339,0.25011,0.65758,0.03663,0.0062237,0.17734, , , , , 
Rw89, , , ,0.91958,0.66801,0.68917,0.45437,0.75023,0.063063,0.12057,0.1805,0.49879,0.35487,0.15105,0.025761,0.48317,0.66592,0.48364,0.39369,0.095314,0.19864,0.43998,0.76995,0.48232,0.15543,0.73225,0.78766,0.80829, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw93, , , ,0.23641,0.075557,0.34677,0.42602,0.33866,0.19295,0.32944,0.25093,0.26293,0.76813,0.63196,0.31186,0.23303,0.10993,0.41103,0.99831,0.37211,0.085452,0.83452,0.03818,0.14105,0.024665,0.1843,0.051943,0.75871, , , , 
