Plot ID,PI,RA1,RW,XofY
SF-BE-r1-p0230,PI_154844,5,38,2 of 4
SF-BE-r1-p0231,PI_154844,5,39,3 of 4
SF-BE-r1-p0232,PI_154844,5,40,4 of 4
SF-BE-r1-p0233,CHECK,5,41,1 of 4
SF-BE-r1-p0234,CHECK,5,42,2 of 4
SF-BE-r1-p0235,CHECK,5,43,3 of 4
SF-BE-r1-p0236,CHECK,5,44,4 of 4
SF-BE-r1-p0237,PI_255239,5,45,1 of 4
SF-BE-r1-p0238,PI_255239,5,46,2 of 4
SF-BE-r1-p0239,PI_255239,5,47,3 of 4
SF-BE-r1-p0240,PI_255239,5,48,4 of 4
SF-BE-r1-p0241,PI_181083,6,1,1 of 4
SF-BE-r1-p0242,PI_181083,6,2,2 of 4
SF-BE-r1-p0243,PI_181083,6,3,3 of 4
SF-BE-r1-p0244,PI_181083,6,4,4 of 4
SF-BE-r1-p0245,PI_253986,6,5,1 of 4
SF-BE-r1-p0246,PI_253986,6,6,2 of 4
SF-BE-r1-p0247,PI_253986,6,7,3 of 4
SF-BE-r1-p0248,PI_253986,6,8,4 of 4
SF-BE-r1-p0249,PI_181080,6,9,1 of 4
SF-BE-r1-p0250,PI_181080,6,10,2 of 4
SF-BE-r1-p0251,PI_181080,6,11,3 of 4
SF-BE-r1-p0252,PI_181080,6,12,4 of 4
SF-BE-r1-p0253,Check,6,13,1 of 4
SF-BE-r1-p0254,Check,6,14,2 of 4
SF-BE-r1-p0255,Check,6,15,3 of 4
SF-BE-r1-p0256,Check,6,16,4 of 4
SF-BE-r1-p0257,PI_570074,6,17,1 of 4
SF-BE-r1-p0258,PI_570074,6,18,2 of 4
SF-BE-r1-p0259,PI_570074,6,19,3 of 4
SF-BE-r1-p0260,PI_570074,6,20,4 of 4
SF-BE-r1-p0261,PI_569462,6,21,1 of 4
SF-BE-r1-p0262,PI_569462,6,22,2 of 4
SF-BE-r1-p0263,PI_569462,6,23,3 of 4
SF-BE-r1-p0264,PI_569462,6,24,4 of 4
SF-BE-r1-p0265,PI_329256,6,25,1 of 4
SF-BE-r1-p0266,PI_329256,6,26,2 of 4
SF-BE-r1-p0267,PI_329256,6,27,3 of 4
SF-BE-r1-p0268,PI_329256,6,28,4 of 4
SF-BE-r1-p0269,PI_569435,6,29,1 of 4
SF-BE-r1-p0270,PI_569435,6,30,2 of 4
SF-BE-r1-p0271,PI_569435,6,31,3 of 4
SF-BE-r1-p0272,PI_569435,6,32,4 of 4
SF-BE-r1-p0273,PI_329517,6,33,1 of 4
SF-BE-r1-p0274,PI_329517,6,34,2 of 4
SF-BE-r1-p0275,PI_329517,6,35,3 of 4
SF-BE-r1-p0276,PI_329517,6,36,4 of 4
SF-BE-r1-p0277,PI_569264,6,37,1 of 4
SF-BE-r1-p0278,PI_569264,6,38,2 of 4
SF-BE-r1-p0279,PI_569264,6,39,3 of 4
SF-BE-r1-p0280,PI_569264,6,40,4 of 4
SF-BE-r1-p0281,PI_329702,6,41,1 of 4
SF-BE-r1-p0282,PI_329702,6,42,2 of 4
SF-BE-r1-p0283,PI_329702,6,43,3 of 4
SF-BE-r1-p0284,PI_329702,6,44,4 of 4
SF-BE-r1-p0285,PI_455221,6,45,1 of 4
SF-BE-r1-p0286,PI_455221,6,46,2 of 4
SF-BE-r1-p0287,PI_455221,6,47,3 of 4
SF-BE-r1-p0288,PI_455221,6,48,4 of 4
SF-BE-r1-p0289,PI_656065,7,1,1 of 4
SF-BE-r1-p0290,PI_656065,7,2,2 of 4
SF-BE-r1-p0291,PI_656065,7,3,3 of 4
SF-BE-r1-p0292,PI_656065,7,4,4 of 4
SF-BE-r1-p0293,CHECK,7,5,1 of 4
SF-BE-r1-p0294,CHECK,7,6,2 of 4
SF-BE-r1-p0295,CHECK,7,7,3 of 4
SF-BE-r1-p0296,CHECK,7,8,4 of 4
SF-BE-r1-p0297,PI_535785,7,9,1 of 4
SF-BE-r1-p0298,PI_535785,7,10,2 of 4
SF-BE-r1-p0299,PI_535785,7,11,3 of 4
SF-BE-r1-p0300,PI_535785,7,12,4 of 4
SF-BE-r1-p0301,PI_195754,7,13,1 of 4
SF-BE-r1-p0302,PI_195754,7,14,2 of 4
SF-BE-r1-p0303,PI_195754,7,15,3 of 4
SF-BE-r1-p0304,PI_195754,7,16,4 of 4
SF-BE-r1-p0305,PI_329618,7,17,1 of 4
SF-BE-r1-p0306,PI_329618,7,18,2 of 4
SF-BE-r1-p0307,PI_329618,7,19,3 of 4
SF-BE-r1-p0308,PI_329618,7,20,4 of 4
SF-BE-r1-p0309,PI_267573,7,21,1 of 4
SF-BE-r1-p0310,PI_267573,7,22,2 of 4
SF-BE-r1-p0311,PI_267573,7,23,3 of 4
SF-BE-r1-p0312,PI_267573,7,24,4 of 4
SF-BE-r1-p0313,PI_585461,7,25,1 of 4
SF-BE-r1-p0314,PI_585461,7,26,2 of 4
SF-BE-r1-p0315,PI_585461,7,27,3 of 4
SF-BE-r1-p0316,PI_585461,7,28,4 of 4
SF-BE-r1-p0317,PI_585448,7,29,1 of 4
SF-BE-r1-p0318,PI_585448,7,30,2 of 4
SF-BE-r1-p0319,PI_585448,7,31,3 of 4
SF-BE-r1-p0320,PI_585448,7,32,4 of 4
SF-BE-r1-p0321,PI_329584,7,33,1 of 4
SF-BE-r1-p0322,PI_329584,7,34,2 of 4
SF-BE-r1-p0323,PI_329584,7,35,3 of 4
SF-BE-r1-p0324,PI_329584,7,36,4 of 4
SF-BE-r1-p0325,PI_562982,7,37,1 of 4
SF-BE-r1-p0326,PI_562982,7,38,2 of 4
SF-BE-r1-p0327,PI_562982,7,39,3 of 4
SF-BE-r1-p0328,PI_562982,7,40,4 of 4
SF-BE-r1-p0329,PI_570085,7,41,1 of 4
SF-BE-r1-p0330,PI_570085,7,42,2 of 4
SF-BE-r1-p0331,PI_570085,7,43,3 of 4
SF-BE-r1-p0332,PI_570085,7,44,4 of 4
SF-BE-r1-p0333,PI_329286,7,45,1 of 4
SF-BE-r1-p0334,PI_329286,7,46,2 of 4
SF-BE-r1-p0335,PI_329286,7,47,3 of 4
SF-BE-r1-p0336,PI_329286,7,48,4 of 4
SF-BE-r1-p0337,PI_526905,8,1,1 of 4
SF-BE-r1-p0338,PI_526905,8,2,2 of 4
SF-BE-r1-p0339,PI_526905,8,3,3 of 4
SF-BE-r1-p0340,PI_526905,8,4,4 of 4
SF-BE-r1-p0341,PI_152651,8,5,1 of 4
SF-BE-r1-p0342,PI_152651,8,6,2 of 4
SF-BE-r1-p0343,PI_152651,8,7,3 of 4
SF-BE-r1-p0344,PI_152651,8,8,4 of 4
SF-BE-r1-p0345,PI_641829,8,9,1 of 4
SF-BE-r1-p0346,PI_641829,8,10,2 of 4
SF-BE-r1-p0347,PI_641829,8,11,3 of 4
SF-BE-r1-p0348,PI_641829,8,12,4 of 4
SF-BE-r1-p0349,PI_157804,8,13,1 of 4
SF-BE-r1-p0350,PI_157804,8,14,2 of 4
SF-BE-r1-p0351,PI_157804,8,15,3 of 4
SF-BE-r1-p0352,PI_157804,8,16,4 of 4
SF-BE-r1-p0353,PI_329632,8,17,1 of 4
SF-BE-r1-p0354,PI_329632,8,18,2 of 4
SF-BE-r1-p0355,PI_329632,8,19,3 of 4
SF-BE-r1-p0356,PI_329632,8,20,4 of 4
SF-BE-r1-p0357,PI_570090,8,21,1 of 4
SF-BE-r1-p0358,PI_570090,8,22,2 of 4
SF-BE-r1-p0359,PI_570090,8,23,3 of 4
SF-BE-r1-p0360,PI_570090,8,24,4 of 4
SF-BE-r1-p0361,PI_641909,8,25,1 of 4
SF-BE-r1-p0362,PI_641909,8,26,2 of 4
SF-BE-r1-p0363,PI_641909,8,27,3 of 4
SF-BE-r1-p0364,PI_641909,8,28,4 of 4
SF-BE-r1-p0365,PI_152728,8,29,1 of 4
SF-BE-r1-p0366,PI_152728,8,30,2 of 4
SF-BE-r1-p0367,PI_152728,8,31,3 of 4
SF-BE-r1-p0368,PI_152728,8,32,4 of 4
SF-BE-r1-p0369,PI_329710,8,33,1 of 4
SF-BE-r1-p0370,PI_329710,8,34,2 of 4
SF-BE-r1-p0371,PI_329710,8,35,3 of 4
SF-BE-r1-p0372,PI_329710,8,36,4 of 4
SF-BE-r1-p0373,PI_329615,8,37,1 of 4
SF-BE-r1-p0374,PI_329615,8,38,2 of 4
SF-BE-r1-p0375,PI_329615,8,39,3 of 4
SF-BE-r1-p0376,PI_329615,8,40,4 of 4
SF-BE-r1-p0377,PI_569418,8,41,1 of 4
SF-BE-r1-p0378,PI_569418,8,42,2 of 4
SF-BE-r1-p0379,PI_569418,8,43,3 of 4
SF-BE-r1-p0380,PI_569418,8,44,4 of 4
SF-BE-r1-p0381,PI_563009,8,45,1 of 4
SF-BE-r1-p0382,PI_563009,8,46,2 of 4
SF-BE-r1-p0383,PI_563009,8,47,3 of 4
SF-BE-r1-p0384,PI_563009,8,48,4 of 4
SF-BE-r1-p0385,PI_535793,9,1,1 of 4
SF-BE-r1-p0386,PI_535793,9,2,2 of 4
SF-BE-r1-p0387,PI_535793,9,3,3 of 4
SF-BE-r1-p0388,PI_535793,9,4,4 of 4
SF-BE-r1-p0389,PI_641815,9,5,1 of 4
SF-BE-r1-p0390,PI_641815,9,6,2 of 4
SF-BE-r1-p0391,PI_641815,9,7,3 of 4
SF-BE-r1-p0392,PI_641815,9,8,4 of 4
SF-BE-r1-p0393,PI_535795,9,9,1 of 4
SF-BE-r1-p0394,PI_535795,9,10,2 of 4
SF-BE-r1-p0395,PI_535795,9,11,3 of 4
SF-BE-r1-p0396,PI_535795,9,12,4 of 4
SF-BE-r1-p0397,PI_155760,9,13,1 of 4
SF-BE-r1-p0398,PI_155760,9,14,2 of 4
SF-BE-r1-p0399,PI_155760,9,15,3 of 4
SF-BE-r1-p0400,PI_155760,9,16,4 of 4
SF-BE-r1-p0401,PI_563002,9,17,1 of 4
SF-BE-r1-p0402,PI_563002,9,18,2 of 4
SF-BE-r1-p0403,PI_563002,9,19,3 of 4
SF-BE-r1-p0404,PI_563002,9,20,4 of 4
SF-BE-r1-p0405,PI_563329,9,21,1 of 4
SF-BE-r1-p0406,PI_563329,9,22,2 of 4
SF-BE-r1-p0407,PI_563329,9,23,3 of 4
SF-BE-r1-p0408,PI_563329,9,24,4 of 4
SF-BE-r1-p0409,PI_521019,9,25,1 of 4
SF-BE-r1-p0410,PI_521019,9,26,2 of 4
SF-BE-r1-p0411,PI_521019,9,27,3 of 4
SF-BE-r1-p0412,PI_521019,9,28,4 of 4
SF-BE-r1-p0413,PI_570087,9,29,1 of 4
SF-BE-r1-p0414,PI_570087,9,30,2 of 4
SF-BE-r1-p0415,PI_570087,9,31,3 of 4
SF-BE-r1-p0416,PI_570087,9,32,4 of 4
SF-BE-r1-p0417,PI_329665,9,33,1 of 4
SF-BE-r1-p0418,PI_329665,9,34,2 of 4
SF-BE-r1-p0419,PI_329665,9,35,3 of 4
SF-BE-r1-p0420,PI_329665,9,36,4 of 4
SF-BE-r1-p0421,PI_569454,9,37,1 of 4
SF-BE-r1-p0422,PI_569454,9,38,2 of 4
SF-BE-r1-p0423,PI_569454,9,39,3 of 4
SF-BE-r1-p0424,PI_569454,9,40,4 of 4
SF-BE-r1-p0425,PI_329605,9,41,1 of 4
SF-BE-r1-p0426,PI_329605,9,42,2 of 4
SF-BE-r1-p0427,PI_329605,9,43,3 of 4
SF-BE-r1-p0428,PI_329605,9,44,4 of 4
SF-BE-r1-p0429,PI_329319,9,45,1 of 4
SF-BE-r1-p0430,PI_329319,9,46,2 of 4
SF-BE-r1-p0431,PI_329319,9,47,3 of 4
SF-BE-r1-p0432,PI_329319,9,48,4 of 4
SF-BE-r1-p0433,PI_593916,10,1,1 of 4
SF-BE-r1-p0434,PI_593916,10,2,2 of 4
SF-BE-r1-p0435,PI_593916,10,3,3 of 4
SF-BE-r1-p0436,PI_593916,10,4,4 of 4
SF-BE-r1-p0437,PI_651495,10,5,1 of 4
SF-BE-r1-p0438,PI_651495,10,6,2 of 4
SF-BE-r1-p0439,PI_651495,10,7,3 of 4
SF-BE-r1-p0440,PI_651495,10,8,4 of 4
SF-BE-r1-p0441,PI_562730,10,9,1 of 4
SF-BE-r1-p0442,PI_562730,10,10,2 of 4
SF-BE-r1-p0443,PI_562730,10,11,3 of 4
SF-BE-r1-p0444,PI_562730,10,12,4 of 4
SF-BE-r1-p0445,PI_641850,10,13,1 of 4
SF-BE-r1-p0446,PI_641850,10,14,2 of 4
SF-BE-r1-p0447,PI_641850,10,15,3 of 4
SF-BE-r1-p0448,PI_641850,10,16,4 of 4
SF-BE-r1-p0449,PI_156393,10,17,1 of 4
SF-BE-r1-p0450,PI_156393,10,18,2 of 4
SF-BE-r1-p0451,PI_156393,10,19,3 of 4
SF-BE-r1-p0452,PI_156393,10,20,4 of 4
SF-BE-r1-p0453,PI_562897,10,21,1 of 4
SF-BE-r1-p0454,PI_562897,10,22,2 of 4
SF-BE-r1-p0455,PI_562897,10,23,3 of 4
SF-BE-r1-p0456,PI_562897,10,24,4 of 4
SF-BE-r1-p0457,PI_563355,10,25,1 of 4
SF-BE-r1-p0458,PI_563355,10,26,2 of 4
SF-BE-r1-p0459,PI_563355,10,27,3 of 4
SF-BE-r1-p0460,PI_563355,10,28,4 of 4
SF-BE-r1-p0461,PI_329585,10,29,1 of 4
SF-BE-r1-p0462,PI_329585,10,30,2 of 4
SF-BE-r1-p0463,PI_329585,10,31,3 of 4
SF-BE-r1-p0464,PI_329585,10,32,4 of 4
SF-BE-r1-p0465,PI_569465,10,33,1 of 4
SF-BE-r1-p0466,PI_569465,10,34,2 of 4
SF-BE-r1-p0467,PI_569465,10,35,3 of 4
SF-BE-r1-p0468,PI_569465,10,36,4 of 4
SF-BE-r1-p0469,PI_155516,10,37,1 of 4
SF-BE-r1-p0470,PI_155516,10,38,2 of 4
SF-BE-r1-p0471,PI_155516,10,39,3 of 4
SF-BE-r1-p0472,PI_155516,10,40,4 of 4
SF-BE-r1-p0473,PI_585406,10,41,1 of 4
SF-BE-r1-p0474,PI_585406,10,42,2 of 4
SF-BE-r1-p0475,PI_585406,10,43,3 of 4
SF-BE-r1-p0476,PI_585406,10,44,4 of 4
SF-BE-r1-p0477,PI_273969,10,45,1 of 4
SF-BE-r1-p0478,PI_273969,10,46,2 of 4
SF-BE-r1-p0479,PI_273969,10,47,3 of 4
SF-BE-r1-p0480,PI_273969,10,48,4 of 4
SF-BE-r1-p0481,PI_550604,11,1,1 of 4
