 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw31,70.2658,32.2101,31.8371,53.4886,80.1864,42.3077,53.7232,54.7738,40.9788,73.2418,69.4828,65.8959,47.8788,61.873,56.6203,1.2155,52.7959,67.0686,33.4324,46.5514,16.2987,64.8865,40.9308,43.6947,69.5759,33.2946,53.2307,57.2451,27.3662,35.2769,44.8964,61.3988
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw33,64.8734,46.5441,32.7508,72.765,41.6756,68.2445,70.8044,61.2812,79.8696,50.4232,83.5598,80.2052,76.7188,53.6691,36.5445,59.1398,74.5354,58.7735,18.4543,53.5244,66.155,48.7698,59.8286,56.4933,70.0859,55.7751,36.7241,78.3909,63.1442,74.3663,80.9743,45.2801
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw45,50.8202,52.8315,26.811,43.9965,41.2338,19.0847,16.5515,15.0199,4.7439,65.6697,55.8606,39.2413,50.5599,34.7924,36.2112,27.056,16.1591,39.7517,26.4556,47.2966,3.6142,17.3656,26.3861,5.7062,3.352,20.1576,1.865,12.6799,27.4607,17.1535,23.4896,4.0497
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw48,34.4779,46.987,37.9174,31.6592,9.7316,6.2117,14.9831,41.863,20.5739,49.9939,45.3623,34.9753,1.0071,27.3751,19.1868,17.3362,19.838,3.2429,28.7873,21.4454,19.6866,6.395,3.3704,5.2187,12.445,12.6738,28.2281,14.2277,8.4954,18.3544,55.412,6.5839
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw53,38.7423,33.4724,39.404,49.6167,15.59,4.4679,46.9469,65.8673,57.4396,52.8767,43.9687,32.6889,44.7717,14.8508,12.9421,35.1499,17.6016,2.7526,6.3814,25.8548,18.2861,1.4332,1.4179,0.76256,2.4745,8.0941,13.2491,0.7105,22.6354,10.4038,34.0049,14.3149
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw57,17.5151,43.2941,51.8485,56.7256,47.4527,30.3646,68.2755,51.4726,54.5128,53.1837,70.6862,29.417,30.9893,43.7227,29.4692,29.5497,46.0631,6.3287,9.998,16.2971,16.8498,33.135,0.7788,0.82345,2.8901,4.5258,4.5005,18.3683,59.349,17.8309,18.0895,1.5258
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw61,43.6853,21.0395,39.1928,15.5189,45.4752,32.3314,21.108,56.2118,38.7354,18.5241,23.883,20.5004,24.5468,21.026,22.4146,18.7596,1.8801,13.3975,31.6734,8.9878,15.326,16.4333,1.9891,2.2702,1.0448,2.9337,19.9799,28.3164,37.016,6.4192,37.1112,1.7018
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65,28.0936,27.3005,33.8559,41.8478,31.6474,56.6669,37.6762,42.9089,44.629,41.6815,23.408,25.848,12.9953,33.1554,8.7899,1.5822,34.0319,26.8619,1.4989,12.0626,15.3866,22.9375,10.8065,16.3165,5.0168,5.9834,11.5653,3.8485,28.3471,44.959,42.8833,10.7761
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw72,29.3141,38.9015,44.1747,23.9897,43.4165,36.19,62.1251,52.3406,22.0299,20.2375,26.2342,52.3967,22.7633,27.943,46.4867,28.7598,35.1638,28.6864,4.8951,10.5706,15.5105,3.6652,41.5442,20.81,5.121,36.0325,22.2059,6.3193,9.7272,29.4075,46.2033,2.7275
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw78,17.7902,34.447,11.1577,27.805,36.3525,52.817,67.9402,35.194,29.6966,41.0489,34.1138,47.4869,43.9788,51.1554,46.3824,46.764,49.1727,34.4256,28.7743,5.0789,9.5539,29.6471,22.5381,18.7771,18.5281,20.7461,20.8563,20.9527,14.5728,19.2381,18.4359,36.5179
