Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0211,41.58,0.75,12.68,66.08,2.76,10.03,2.66,91.79,1.08,4.75,33.26,71.63,59.73,57.9,19.15,71.71,0.78,66.59,13.45,36.83,26.71
SF16-BE-r1-p0215,39.37,0.61,12.53,66.57,2.22,9.05,18.2,91.21,1.06,4.32,34.04,84.01,61.3,57.13,18.49,65.4,0.12,74.29,10.47,35.05,30.4
SF16-BE-r1-p0219,30.22,0.46,6.06,51.89,2.12,5.88,17.38,91.76,0.75,5.49,36.18,70.95,64.5,62.35,38.02,63.89,0.86,65.53,26.44,24.73,25.89
SF16-BE-r1-p0223,35.22,0.57,10.13,61.23,3.02,8.63,23.96,92.33,0.91,5.44,32.82,68.71,60.71,57.56,24.73,72.62,0.83,64.91,15.51,29.78,27.73
SF16-BE-r1-p0227,37.73,0.61,13.51,64.11,2.43,11.36,23.33,90.75,1.05,3.88,35.31,78.03,62.09,60.18,21.63,86.87,0.19,70.5,11.87,33.85,28.68
SF16-BE-r1-p0231,35.01,0.51,7.6,61.43,2.33,7.11,28.01,91.35,0.86,5.65,32.8,69.96,61.32,56.66,27.65,58.77,0.36,66.49,17.92,29.36,27.73
SF16-BE-r1-p0235,43.21,0.71,8.14,71.01,2.82,5.08,22.59,92.96,0.95,6.23,27,69.92,56.3,50.31,17.24,9.77,0.42,62.59,11.21,36.98,28.94
SF16-BE-r1-p0239,31.37,0.57,8.49,56.65,2.93,8,23.21,90.69,0.91,5.15,36.37,71.44,63.1,60.97,28.96,69.25,0.73,68.56,22.83,26.22,27.35
SF16-BE-r1-p0247,31.24,0.48,6.41,56.35,3.08,5.75,26.1,91.52,0.82,5.44,34.21,68.77,63.07,60.56,35.78,55.91,0.59,63.82,23.29,25.8,26.54
SF16-BE-r1-p0255,45.76,0.71,6.17,73.42,3.47,4.06,21.38,93.63,0.95,7.57,21.8,61.16,52.8,45.22,17.53,11.69,0.34,55.21,9.86,38.19,28.63
SF16-BE-r1-p0259,37.96,0.51,10.49,64.45,3.3,9.73,24.46,90.76,0.99,4.39,32.33,70.09,61.27,57.32,24.55,87.93,-0.09,65.5,13.65,33.57,28.97
SF16-BE-r1-p0263,40.2,0.68,12.87,65.59,1.32,7.68,6.21,91.16,1.06,5.88,32.64,88.17,59.44,55.13,20.37,35.59,0.42,76.25,13.26,34.32,28.47
SF16-BE-r1-p0267,37.15,0.47,5.92,64.23,3.1,4.21,20.93,92.66,0.8,5.89,29.36,65.44,59.77,55.27,29.29,35.63,0.45,59.75,17.73,31.26,29.4
SF16-BE-r1-p0271,37.24,0.66,12.65,59.46,2.96,11.24,6.37,92.29,0.97,4.78,35.59,68.06,61.34,60.64,23.23,119.93,1.33,64.94,17.82,32.46,24.51
SF16-BE-r1-p0275,35.07,0.57,10.93,61.64,3.37,10.31,28.78,92.18,0.95,4.64,33.91,67.92,61.32,58.49,22.51,98.57,0.74,64.41,13.31,30.43,28.37
SF16-BE-r1-p0279,39.16,0.54,9.8,65.92,2.59,8.93,22.25,92.31,0.9,5.42,31.14,68.15,60.03,55.59,21.41,80.18,0.62,63.39,12.39,33.74,28.55
SF16-BE-r1-p0283,39.54,0.63,10.38,65.38,4.68,9.31,23.02,93.05,1,5.51,28.41,64.01,57.26,54.06,20.86,97.63,0.62,57.33,9.48,34.03,27.74
SF16-BE-r1-p0287,37.97,0.59,10.9,65.45,3.14,8.94,22.48,93.04,0.9,5.85,30.38,68.78,58.63,54.66,20.27,82.24,0.88,62.48,11.71,32.12,29.04
SF16-BE-r1-p0291,40.55,0.74,10.22,66.44,1.97,8.43,13.6,91.79,0.96,5.56,31.54,68.02,59.37,56.84,22.85,45.59,0.68,62.88,15.86,34.99,27.92
SF16-BE-r1-p0295,45.88,0.74,6.82,73.61,2.98,4.28,21.47,92.95,0.95,7.12,23.34,69.72,53.73,46.17,16.7,-15.34,0.25,59.43,8.78,38.76,29.22
SF16-BE-r1-p0299,28.5,0.49,3,49.19,2.44,4.03,19.85,90.75,0.78,5.35,38.06,68.83,65.73,62.1,38.25,46.39,1.07,67.33,31.28,23.15,24.26
SF16-BE-r1-p0303,34.59,0.58,5.95,57.96,3.13,7.65,20.9,90.97,0.89,5.11,35.61,71.5,62.61,58.38,26.32,65.55,1.11,66.81,19.86,29.48,25.54
SF16-BE-r1-p0307,32.54,0.59,12.23,58.31,2.9,10.51,26.93,91.8,0.92,5.1,34.97,71.63,61.71,60.12,25.6,79.37,0.98,66.64,15.44,27.44,27.39
SF16-BE-r1-p0311,40.3,0.62,9.69,65.35,3.87,8.93,24.22,93.79,0.94,6.74,27.04,63.02,55.99,51.7,20.61,101.85,0.82,55.51,9.23,33.56,26.9
SF16-BE-r1-p0315,37.05,0.6,10.41,59.96,3.97,9.97,21.06,92.43,0.91,5.72,30.45,66.72,59.21,55.85,26.09,88.98,0.79,60.78,15.89,31.33,25.49
SF16-BE-r1-p0319,36.5,0.65,9.47,57.97,4.38,8.53,18.18,92.1,0.94,5.08,32.14,66.61,60.12,57.26,25.53,73.78,1.03,61.96,18.69,31.42,25.03
