Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p1163,30.2,0.52,4.28,54.09,2.21,1.83,26.64,91.93,0.81,5.23,35.36,67.7,64.35,60.73,37.95,-9.73,0.89,65.84,30.46,24.97,24.49
SF16-BE-r1-p1167,39.72,0.54,8.35,67.25,2.32,6.74,26.03,91.75,0.93,5.49,30.18,75.88,59.11,52.84,22.39,40.94,0.08,67.02,11.15,34.23,29.64
SF16-BE-r1-p1171,41.38,0.67,11,67.24,2.47,8.51,12.37,91.76,1.02,5.64,30.93,74.12,58.51,54.53,20.74,58.3,0.51,66.29,12.77,35.74,28
SF16-BE-r1-p1175,39.4,0.66,10.2,65.44,3.42,6.8,11.19,91.86,1.02,6.29,29.31,73.09,57.24,53.09,22.85,44.22,0.45,66.18,15.6,33.11,28.27
SF16-BE-r1-p1179,44.43,0.7,12.47,71.31,2.97,9.19,8.74,92.43,1.04,5.48,28.87,73.52,57.36,52.26,13.79,57.34,0.72,65.55,9.18,38.95,28.91
SF16-BE-r1-p1183,34.77,0.54,11.11,60.83,4.22,10.08,28.74,92.05,0.92,5.77,31.27,66.35,59.57,56.96,25.63,104.97,0.62,61.53,14.1,29,28.26
SF16-BE-r1-p1187,33.38,0.54,13.55,58.42,2.53,12.45,27.88,91.64,0.96,3.53,38.06,69.42,64.36,64.57,26.58,132.62,0.75,64.96,15.46,29.85,26.8
SF16-BE-r1-p1191,33.39,0.56,11.97,59.58,3.35,10.59,28.95,91.7,0.9,4.8,34.47,68.4,61.72,59.56,24.83,101.07,0.67,64.99,15.48,28.59,27.85
SF16-BE-r1-p1195,33.5,0.65,12.64,59.4,4.18,12.24,23.99,92.6,0.9,4,34.91,71.69,61.92,61.25,26.16,108.8,1.23,63.55,15.83,29.5,28.21
SF16-BE-r1-p1199,38.24,0.6,11.83,65.04,2.32,10.39,21.61,91.82,0.97,4.55,34.35,68.29,61.51,59.48,22.58,93.32,0.56,64.23,13.38,33.69,28.6
SF16-BE-r1-p1203,50.05,0.81,5.9,76.42,4.24,1.83,12.66,92.3,1.09,7.09,19.83,72,51.01,43.12,17.94,-30.92,-0.33,54.31,8.22,42.96,28.57
SF16-BE-r1-p1207,33.64,0.56,5.11,56.02,1.66,3.48,12.62,93.47,0.82,4.98,36.09,67.4,65.21,62.45,38.35,21.86,0.68,63.57,31.71,28.66,22.42
SF16-BE-r1-p1211,30.14,0.56,4.47,53.85,2.31,3.66,14.29,92.7,0.78,5.29,35.98,69.04,65.29,62.15,41.27,1.28,0.76,64.62,33.78,24.85,24.67
SF16-BE-r1-p1215,38.38,0.51,6.21,64.03,2.17,4.39,23.75,92.49,0.81,7.11,28.06,62.09,58.29,52.2,29.88,22.47,0.62,58.99,19.19,31.27,26.56
SF16-BE-r1-p1219,36.98,0.6,9.28,62.38,2,6.91,17.48,90.97,0.97,5.29,34.02,75.69,61.49,57.28,25.63,35.95,0.39,70.48,18.85,31.69,27.45
SF16-BE-r1-p1223,35.51,0.57,6.36,60.31,1.84,5.93,17.27,93.55,0.77,6.01,32.92,67.65,62.03,58.34,34.72,54.13,0.69,60.84,24.99,29.5,25.46
SF16-BE-r1-p1227,41.96,0.67,12.61,68.33,2.15,8.9,6.04,92.26,1.03,5.44,31.78,77.33,59.28,55.1,16.77,71.42,0.78,69.52,11.84,36.52,28.88
SF16-BE-r1-p1231,43.81,0.73,7.63,71.74,3.48,5.12,27.31,92.84,0.95,6.67,24.38,69.32,54.6,47.52,16.61,-1.64,0.3,60.73,9.04,37.14,29.09
SF16-BE-r1-p1235,37.61,0.7,15.05,59.12,2.6,14.14,10.09,91.42,1.03,1.81,39.05,74.05,64.63,65.12,23.35,96.76,1.42,67.14,15.9,35.8,24.88
SF16-BE-r1-p1239,39.51,0.61,10.29,67.48,2.38,7.26,18.34,92.21,0.97,5.32,31,77.29,59.24,54.18,19.82,49.88,0.51,67.79,11.34,34.19,30.26
SF16-BE-r1-p1243,38.63,0.63,10.91,66.25,2.15,7.2,17.16,91.87,0.97,5.26,32.27,78.12,60.19,55.96,20.66,39.94,0.49,69.54,13.43,33.37,29.76
SF16-BE-r1-p1247,39.71,0.68,12.79,66.72,2.56,8.84,14.62,91.9,1.01,5.33,31.7,78.69,58.93,55.24,18.66,51.56,0.62,69.27,12.31,34.38,29.29
SF16-BE-r1-p1251,42.13,0.74,10.17,68.9,2.35,7.79,17.22,91.72,1,5.55,30.2,74.07,58.2,53.68,18.44,25.87,0.34,65,11.28,36.58,28.71
SF16-BE-r1-p1255,47.14,0.8,6.57,75,3.32,3.37,24.56,92.5,0.99,7.38,20.98,68.89,52.23,44.06,16.19,-37.53,-0.14,56.7,7.7,39.76,29.35
SF16-BE-r1-p1259,34.08,0.68,7.36,59.95,3.05,5.72,20.98,90.8,0.9,5.65,32.57,72.71,60.54,58.08,32.06,8.36,0.62,63.79,22.17,28.43,27.54
SF16-BE-r1-p1263,40.47,0.61,5.52,62.86,2.14,4.87,13.18,93.98,0.79,6.7,28.89,64.34,58.13,53.07,26.52,39.49,1.12,59.04,19.64,33.77,24.08
SF16-BE-r1-p1267,41.78,0.58,7.31,68.62,2.45,5.76,23.94,93.21,0.87,7.56,25.45,64.53,55.61,48.92,22.79,34.96,0.49,59.08,13.21,34.22,27.94
SF16-BE-r1-p1271,41.96,0.77,11.33,66.78,3.54,8.7,8.78,92.92,0.96,5.75,28.49,67.29,56.72,53.33,17.45,48.36,1.09,62.22,10.34,36.21,27.05
SF16-BE-r1-p1275,37.25,0.6,7.61,62.58,2.96,7.29,18.85,93.87,0.86,5.83,30.8,66.76,59.92,56.29,31.12,61.77,0.99,59.69,19.58,31.42,27.39
SF16-BE-r1-p1279,46.75,0.76,10.4,72.9,-0.57,6.34,-3.75,93.22,0.89,2.91,34.98,69.59,63.13,60.43,14.7,0.3,1.43,66.18,12.71,43.84,27.53
SF16-BE-r1-p1283,40.28,0.75,16.37,64.2,0.28,13.39,-8.03,90.42,1.06,3.24,40.11,79.74,64.82,66.01,21.1,92.65,1.11,71.88,16.23,37.04,26.9
SF16-BE-r1-p1287,37.25,0.66,17.07,60.85,0.62,14.87,15.6,91.26,1.03,2.79,40.98,73.95,64.89,66.65,23.36,130.96,0.91,70.36,12.95,34.46,25.28
SF16-BE-r1-p1291,36.39,0.69,14.43,62.08,2.72,12.62,16.28,91.6,1.03,4.47,36.08,73.63,61.37,61.56,21.87,109.76,0.96,67.24,12.63,31.92,27.33
SF16-BE-r1-p1295,37.35,0.65,12.68,63.43,1.95,10.44,12.83,91.46,1,4.45,36.08,76.58,62.05,59.97,20.61,83.98,0.95,70.7,15.13,32.9,28.65
SF16-BE-r1-p1299,36.72,0.68,6.75,60.41,3.69,5.6,19.98,91.21,0.95,6.56,28.65,70.1,57.71,53.26,30.59,22.97,0.4,61.07,19.13,30.16,27.77
SF16-BE-r1-p1303,33.19,0.64,7.98,58.62,2.57,5.26,17.61,91.49,0.85,5.37,33.98,70.19,62.03,59.86,31.27,9.49,0.98,65.82,24.15,27.82,27.1
SF16-BE-r1-p1307,38.56,0.58,8.77,65.54,2.71,6.7,22.96,91.25,1,5.34,31.09,79.09,59.65,53.77,22.68,38.36,0.07,70.1,13.88,33.22,29.62
SF16-BE-r1-p1311,43.21,0.69,12.77,68.65,0.49,7.82,7.06,91.56,1.07,5.28,32.8,90.7,59.51,54.86,17.8,25.23,0.43,76,10.54,37.93,27.94
SF16-BE-r1-p1315,40.58,0.49,6.49,66.61,2.27,5.53,19.65,92.8,0.83,6.35,28.6,62.38,58.82,53.15,26.86,50.89,0.44,59.23,15.03,34.23,27.22
SF16-BE-r1-p1319,45.25,0.79,12.97,70.31,1.88,8.83,-6.01,91.98,1.06,4.6,32.01,75.93,59.67,56.6,14.92,35.2,1.12,69.09,12.49,40.65,27.57
SF16-BE-r1-p1323,38.34,0.6,13,63.96,3.72,12.14,20.71,91.86,1,5.08,31.89,66.74,59.52,57.33,21.46,115.67,0.61,62.07,10.58,33.26,27.91
SF16-BE-r1-p1327,30.61,0.42,5.68,54.4,1.82,5.11,20.76,92.03,0.77,5.51,35.21,69.21,64.61,61.2,38.24,52.68,0.93,65.2,27.8,25.1,25.17
SF16-BE-r1-p1331,43.52,0.76,14.31,68.34,1.51,10.43,-9.46,91.87,1.06,4.55,34.75,78.34,61.22,59.53,15.99,61.28,1.27,71.12,13.34,38.97,27.73
SF16-BE-r1-p1335,41.83,0.73,13.48,63.05,2.74,11.52,8.35,92.25,0.99,3.48,33.67,68.29,61.66,58.94,18.59,73.91,1.35,63.56,15.63,38.35,26.07
SF16-BE-r1-p1339,38.39,0.64,13.61,65.02,1.05,10.5,13,91.31,1.01,3.5,37.29,84.31,63.4,61.25,19,66.43,0.97,73.96,12.66,34.89,29
SF16-BE-r1-p1347,39.26,0.69,7.81,66.29,3.21,4.8,17.78,92.19,0.9,6.63,27.55,69.36,57.23,52.14,23.83,12.65,0.47,61.79,16.64,32.63,28.46
SF16-BE-r1-p1351,28.27,0.53,8.03,52.02,2.47,8.01,21.56,92.67,0.84,4.85,37.88,69.83,65.73,64.68,37.9,81.91,1.22,64.7,26.33,23.42,26.22
SF16-BE-r1-p1355,31.6,0.4,6.36,55.93,2.63,6.16,19.98,91.61,0.79,4.72,36.16,68.52,65.02,62.43,34.77,73.1,0.84,64.98,23.21,26.88,26.53
SF16-BE-r1-p1359,39.29,0.55,8.48,66.53,2.23,6.46,27.81,92.18,0.88,6.99,28.01,69.78,57.25,51.37,24.84,28.84,0.31,63.22,13.69,32.3,28.32
SF16-BE-r1-p1363,37.77,0.55,10.65,64.11,3.35,9.16,21.87,92.32,0.95,5.5,31.12,68.68,59.48,55.58,22.62,87.03,0.64,64.22,13.13,32.27,28.17
SF16-BE-r1-p1367,34.12,0.47,5.03,57.35,1.93,4.87,18.96,92.05,0.81,6.24,32.9,65.53,62.19,57.4,33.26,52.22,0.88,62.81,24.4,27.88,24.71
SF16-BE-r1-p1371,33.86,0.57,11.36,60.68,3.12,9.64,22.5,91.45,0.95,5.17,34.45,71.95,61.57,59.43,25.38,89.99,0.64,67.8,15.76,28.69,28.94
SF16-BE-r1-p1375,41.29,0.67,12.22,68.7,2.38,7.86,15.92,91.79,1.03,5.23,30.94,81.1,59,54.31,17.22,34.98,0.44,70.47,11.34,36.06,29.9
SF16-BE-r1-p1379,36.65,0.53,7.89,63.87,2.26,5.96,24.35,91.96,0.86,5.85,31.48,68.85,60.65,55.72,26.56,43.48,0.4,65.24,18.56,30.8,28.55
SF16-BE-r1-p1383,36.31,0.59,12.69,61.86,2.62,11.06,19.72,91.99,0.96,4.64,34.58,69.55,61.77,59.77,21.52,101.6,1.03,66.37,14.77,31.67,27.6
SF16-BE-r1-p1387,38.21,0.71,15.09,62.64,0.5,11.64,1.8,90.78,1.03,2.82,40.45,80.11,65.19,65.63,22.32,67.6,1.19,74.04,17.27,35.39,26.75
SF16-BE-r1-p1395,47.67,0.86,5.16,72.99,5.33,2.89,19.37,90.81,1.1,5.83,21.33,69.87,52.66,45.99,19.93,-54.04,-0.29,56.76,12.07,41.84,26.94
SF16-BE-r1-p1399,33.21,0.54,6.48,59.12,1.83,4.47,28.19,91.08,0.85,5.54,34.25,70.88,62.68,58.42,32.65,6.04,0.33,67.62,23.45,27.67,26.31
SF16-BE-r1-p1403,33.64,0.63,6.16,57.59,3.13,3.62,25.59,91.38,0.87,5.46,32.1,68.99,60.96,57.59,34.53,-5.73,0.52,62.92,25.39,28.18,26.52
SF16-BE-r1-p1407,39.34,0.74,8.01,65.3,2.01,7.26,9.55,93.48,0.9,6.14,30.26,71.5,58.31,55.49,29.11,58.41,0.65,60.18,15.37,33.2,28.83
SF16-BE-r1-p1411,40.19,0.7,11.49,61.22,2.73,9.03,8.26,92.95,0.95,4.01,33.37,69.53,61.28,58.98,22.99,66.21,1.16,64.03,17.71,36.18,26.14
SF16-BE-r1-p1415,36.91,0.61,13.31,62.05,2.2,11.52,19.75,91.39,0.96,3.94,35.71,69.06,62.53,61.28,23.39,95.43,0.85,65.81,15.29,32.97,26.91
SF16-BE-r1-p1419,37.5,0.59,9.32,65.1,3.8,8.58,25.52,92.11,0.9,5.78,29.81,63.88,58.83,55.31,23.37,79.84,0.53,59.25,12.88,31.72,29.28
SF16-BE-r1-p1423,41.78,0.71,15.55,67.01,1.83,12.63,11.48,91.85,1.06,3.09,35.84,72.99,62.35,60.8,15.04,87.42,0.91,69.17,10.27,38.69,27.45
SF16-BE-r1-p1427,35.19,0.53,9.35,61.11,2.82,7.9,22.75,91.52,0.91,5.15,33.39,69.86,61.42,58.06,26.86,60.8,0.47,66.48,17.06,30.04,27.44
SF16-BE-r1-p1431,36.1,0.56,11.31,62.73,2.19,10.22,27.42,91.36,0.99,3.79,36.23,72.18,63.07,61.04,24.74,94.88,0.3,68.05,13.38,32.31,28.64
SF16-BE-r1-p1435,33.19,0.51,7.91,59.41,2.14,7.91,30.66,90.65,0.92,4.28,36.8,74.2,64.16,60.32,29.02,60.91,0.27,69.66,18.1,28.91,27.92
SF16-BE-r1-p1439,35.32,0.68,16.16,58.93,0.75,14.51,2.87,90.14,1.05,3.51,40.96,76.69,65.01,66.58,24.98,112.74,1.15,71.26,18.59,31.81,25.98
SF16-BE-r1-p1443,45.71,0.77,7.59,73.31,3.59,4,21.38,91.9,1.05,6.75,23.64,80.06,53.87,46.13,16.95,-17.67,-0.17,62.59,7.33,38.96,29.4
SF16-BE-r1-p1447,30.69,0.56,4.81,56.75,2.85,3.2,28.79,91.5,0.81,5.29,34.68,66.48,63.07,59.63,35.05,-0.2,0.73,64.31,25.69,25.4,26.55
SF16-BE-r1-p1451,29.26,0.49,3.85,50.22,1.37,3.84,8.44,93.24,0.88,5.39,37.95,68.31,67.14,63.75,42.26,43.52,1.22,65.1,37.06,23.87,21.95
SF16-BE-r1-p1455,38.08,0.65,7.95,63.56,3.22,9.69,21.38,93.15,0.83,6.01,29.56,66.48,58.7,54.62,28.22,68.02,0.61,57.5,15.81,32.07,27.92
SF16-BE-r1-p1459,40.96,0.67,6.78,68.12,2.82,5,20.71,92.33,0.94,6.64,27.2,64.55,56.77,51.26,22.6,16.78,0.33,60.15,15.46,34.32,28.48
SF16-BE-r1-p1463,40.11,0.69,8.46,64.21,2.49,6.45,12.12,92.85,0.97,6.26,28.62,67.24,58.46,54.85,30.04,64.11,0.3,57.48,16.64,33.85,26.94
SF16-BE-r1-p1467,32.33,0.5,8.31,57.97,2.95,7.84,27.77,91.35,0.9,4.99,34.74,67.86,62.89,59.69,29.85,71.02,0.63,66.29,19.48,27.34,27.34
SF16-BE-r1-p1471,39.25,0.58,9.98,64.76,3.19,8.44,20.38,92.51,0.92,5.96,30,66.56,58.92,54.74,21.81,77.14,0.7,62.28,14.36,33.29,26.88
SF16-BE-r1-p1475,39.36,0.72,16.02,62.47,-0.64,13.95,8.97,91.04,1.04,1.97,42.88,72.05,66.84,69.09,22.73,110.39,1.02,71.6,17.54,37.39,25
SF16-BE-r1-p1479,36.46,0.62,19.01,59.73,0.36,15.48,8.31,91.22,1.06,1.42,44.45,75.18,68.29,70.78,21.15,144.34,1.18,73.54,15.64,35.04,25.83
SF16-BE-r1-p1483,38.95,0.78,17.77,60.54,0.3,14.97,-0.52,90.83,1.13,2.81,42.16,75.66,65.27,68.83,24.23,131.7,0.94,72.93,15.29,36.14,23.78
SF16-BE-r1-p1487,28.91,0.37,7.68,53.33,2.05,7.35,24.81,91.33,0.78,4.5,38.05,70.43,66.79,64.9,37.12,91.26,0.71,66.87,23.42,24.41,26.45
SF16-BE-r1-p1491,36.78,0.73,10.21,62.28,2.66,8.33,20.84,90.63,0.98,4.56,33.85,74.09,61.21,59.57,26.9,30.99,0.59,65.06,17.53,32.22,27.2
SF16-BE-r1-p1495,33.21,0.56,6.64,58.87,2.99,5.38,23.23,91.65,0.83,6.9,31.11,65.81,59.78,56.23,33.09,39.08,0.66,61.74,21.58,26.31,27
SF16-BE-r1-p1499,41.59,0.68,10.2,68.64,2.72,8.06,22.69,92.69,0.97,5.87,28.73,67.5,57.39,53.51,19.43,51.38,0.59,61.15,10.87,35.72,28.6
SF16-BE-r1-p1503,37.97,0.52,8.55,65.36,1.95,6.87,24.37,91.27,0.95,4.83,32.82,76.53,61.4,56.39,25,45.99,0.12,69.07,14.26,33.14,30.11
SF16-BE-r1-p1507,36,0.54,6.79,60.32,2.93,6.42,20.44,91.92,0.86,5.73,32.32,63.67,61.01,56.51,28.05,57.28,1.01,61.7,21.06,30.27,25.9
SF16-BE-r1-p1511,35.59,0.57,10.49,59.85,3.91,10.09,20.57,93.08,0.87,5.36,32.07,68.55,60.85,58.31,29.57,94.74,1.08,61.29,18.58,30.23,26.3
SF16-BE-r1-p1515,39.78,0.61,13.27,65.66,1.38,11.05,19.28,91.24,1.03,4.26,34.93,80.16,61.43,58.27,20.24,81.62,0.46,71.66,12.16,35.52,28.29
SF16-BE-r1-p1519,36.33,0.61,16.02,59.71,1.83,14.39,20.49,91.35,1.08,2.31,40.65,68.5,65.41,67.33,24.45,148.74,0.64,67.25,15.2,34.02,25.77
SF16-BE-r1-p1523,38.07,0.69,15.35,61.42,0.84,12.62,9.21,90.86,1.03,3.14,39.6,71.88,64.52,65.61,23.9,96.44,0.92,70.2,17.73,34.93,25.53
SF16-BE-r1-p1527,37.4,0.6,11.13,64,2.48,9.35,21.4,91.93,0.95,5.62,32.52,69.66,60.09,57.14,24.12,83.6,0.6,64.47,14.4,31.78,28.15
SF16-BE-r1-p1531,32.42,0.61,11.27,58.27,2.04,9.92,21.51,90.83,0.98,4.66,37.87,76.66,63.43,62.14,27.09,80.23,0.63,71.56,17.37,27.76,27.9
SF16-BE-r1-p1535,38.18,0.7,10.47,63.56,1.5,7.07,5.29,91.17,0.99,5.76,34.05,79.62,60.56,58.07,24.68,35.02,0.62,71.34,17.5,32.42,27.61
SF16-BE-r2-p1539,39.36,0.64,10.94,66.25,3.81,8.53,18.56,92.4,0.98,6.38,28.29,70.26,56.75,52.16,20.15,67.01,0.73,63.54,11.48,32.98,28.52
SF16-BE-r2-p1543,39.48,0.73,10.07,64.94,3.13,9.33,13.89,90.45,1,6.04,30.44,73.67,58.33,55.22,23.74,49.86,0.47,62.18,14.55,33.44,27.57
SF16-BE-r2-p1547,36.47,0.59,10.21,58.2,3.2,8.8,18.67,93,0.89,6.01,30.85,67.89,59.5,56.77,28.29,88.02,0.96,60.91,17.16,30.46,26.15
SF16-BE-r2-p1551,36.75,0.49,9.9,63.91,3.27,9.53,28.83,92.57,0.86,5.13,31.99,66.47,61.09,57.56,23.88,112.49,0.5,61.45,11.99,31.62,28.88
SF16-BE-r2-p1555,30.48,0.51,9.73,54.22,2.67,9.1,26.64,92.48,0.83,5.16,36.35,71.65,64.21,63.28,34.91,102.36,0.96,64.18,21.55,25.32,25.18
SF16-BE-r2-p1559,36.18,0.66,12.38,60.99,3.38,10.46,16.22,91.04,1.05,3.53,35.66,68.82,62.14,61.24,24.04,83.53,0.77,66.02,16.83,32.65,26.62
SF16-BE-r2-p1563,39.05,0.63,13.37,64.9,3.2,11.47,17.63,92.61,0.97,5.29,31.61,69.08,59.13,56.21,17.72,100.31,1.1,62.84,11.07,33.76,27.71
SF16-BE-r2-p1567,39.79,0.7,12.45,66.13,2.22,9.39,9.69,92.04,0.97,5.87,31.8,75.37,59.31,55.64,18.48,64.68,0.92,68.36,12.1,33.92,28.56
SF16-BE-r2-p1571,36.81,0.57,11.43,62.96,3.49,9.75,23.44,92.24,0.95,5.2,31.98,68.51,60.06,56.91,21.82,89.36,0.69,64.5,13.96,31.61,28.04
SF16-BE-r2-p1575,39.23,0.6,9.2,66.73,3,7.6,23.58,92.16,0.97,5.69,29.93,71.55,58.58,53.5,20.75,61.74,0.42,64.79,12.04,33.54,29.73
SF16-BE-r2-p1579,35.87,0.45,6.99,61.46,2.51,6.55,27.59,91.9,0.83,5.47,32.41,66.78,61.77,56.95,29.44,56.51,0.42,64.24,17.78,30.4,26.96
SF16-BE-r2-p1583,48.54,0.81,6.98,76.07,3.73,3.76,21.73,92.72,1.02,6.82,20.66,69.28,52.21,43.67,13.36,-35.63,0.16,57.64,7.16,41.72,29.14
SF16-BE-r2-p1587,42.39,0.72,15.03,66.77,2.12,11.82,0.16,92.31,1.06,3.87,34.69,73.24,61.11,59.11,14.41,92.53,1.28,67.8,10.7,38.52,26.65
SF16-BE-r2-p1591,40.96,0.71,12.7,67.36,1.94,9.93,18.25,91.92,1.01,5.55,31.89,76.61,59.53,55.47,17.13,58.03,0.7,70.01,10.55,35.41,27.92
SF16-BE-r2-p1595,37.64,0.64,13.82,62.36,2.73,12.44,21.58,91.43,1.01,3,36.64,66.11,63.12,62.48,21.63,108.9,0.83,64.29,13.67,34.64,26.85
SF16-BE-r2-p1599,37.61,0.58,8.94,64.36,3.14,7.85,28.61,91.77,0.94,5.43,31.5,72.1,59.83,55.11,23.09,54.31,0.47,66.27,14.29,32.18,28.04
SF16-BE-r2-p1603,29.49,0.5,7.92,55.57,3.09,7.12,34.69,91.45,0.81,5.35,34.59,67.38,62.93,59.89,31.06,56.48,0.72,66.5,21.07,24.14,27.14
SF16-BE-r2-p1607,40.53,0.63,8.58,69.16,3.19,5.56,24.37,91.84,1.02,5.74,27.95,82.02,57.12,50.3,18.3,23.34,-0.02,68.44,9.3,34.79,31.04
SF16-BE-r2-p1611,36.43,0.47,7.04,63.12,2.77,6.46,27.31,91.73,0.85,5.12,32.07,64.73,61.61,57.1,28.5,59.13,0.13,62.73,17.42,31.31,28.45
SF16-BE-r2-p1615,38.45,0.69,11.16,63.83,3.22,8.65,15.07,92.14,0.98,7.13,29.22,71.11,56.87,53.68,22.35,65.73,0.74,65.1,14.74,31.32,26.76
SF16-BE-r2-p1619,47.69,0.74,13.43,74,2.27,9.65,6.89,92.42,1.06,5.7,27.07,74.9,56.17,50.71,11.62,43.99,0.87,65.18,8.04,41.99,28.53
SF16-BE-r2-p1623,43.01,0.71,13.62,67.55,1.85,11.3,9.76,91.78,1.04,3.48,34.43,68.96,61.52,59.17,16.39,67.28,0.98,65.35,12.83,39.53,26.53
SF16-BE-r2-p1627,37.99,0.57,11.15,65.97,4.08,10.15,30.19,92.46,0.98,4.78,31.02,69.89,59.06,54.92,18.6,95.84,0.49,63.76,8.1,33.21,29.71
SF16-BE-r2-p1631,40.31,0.65,11.35,65.78,3.22,8.19,12.62,92.59,0.97,5.89,30.02,69.57,58.11,54.13,18.99,60.77,0.82,64.97,14.14,34.42,27.5
SF16-BE-r2-p1635,30.38,0.48,7.65,55.91,3.4,6.86,30.52,91.53,0.84,5.73,33.85,68.58,62.26,59.54,33.59,69.16,0.69,64.53,22.03,24.65,26.78
SF16-BE-r2-p1639,44.95,0.78,13.48,69.54,2.44,8.95,-4.54,91.37,1.17,4.19,32.37,81.44,59.44,56.34,14.33,42.27,0.71,72.71,11.68,40.76,27.32
SF16-BE-r2-p1643,37.19,0.55,10.93,65.42,3.11,10.16,29.75,92.47,0.93,5.15,31.72,68.98,59.84,56.03,20.79,101.26,0.54,63.1,9.15,32.04,29.97
SF16-BE-r2-p1647,37.16,0.53,8.31,64.35,1.91,7.49,29.74,92.21,0.87,5.65,32.14,71.33,60.76,55.24,23.99,59.31,0.58,66.79,14.22,31.51,28.16
SF16-BE-r2-p1651,39.92,0.61,8.86,66.68,2.92,6.97,16.77,92.23,0.95,5.47,30.58,65.01,59.28,55.25,23.06,54.62,0.51,62.37,16.56,34.45,28.76
SF16-BE-r2-p1655,38.97,0.68,11.28,60.85,3.69,9.81,11.62,93.45,0.93,5.54,31.29,67.68,59.18,56.74,22.32,105.26,1.23,61,14.1,33.43,25.44
SF16-BE-r2-p1659,31.56,0.54,8.12,55.66,2.35,7.17,28.68,91.44,0.81,6.3,34.1,66.9,61.98,58.67,32.33,59.07,0.75,65.09,22.32,25.26,24.53
SF16-BE-r2-p1663,36.85,0.58,10.67,62.55,3.52,9.42,20.92,91.9,0.96,5.62,31.67,73.14,59.56,55.28,21.85,83.28,0.75,67.12,13.66,31.23,27.73
SF16-BE-r2-p1667,32.22,0.51,7.87,58.26,4.1,8.07,30.13,91.63,0.88,5.71,32.49,65.84,60.72,57.61,29.56,89.72,0.56,62.49,17.69,26.51,27.65
SF16-BE-r2-p1671,29.38,0.5,8.36,55.13,3.56,6.95,26.8,91.51,0.88,4.17,36.67,67.76,64.83,63.42,31.24,68.81,0.82,66.05,24.35,25.21,27.69
SF16-BE-r2-p1675,26.07,0.49,5.79,48.8,2.82,4.36,28,91.33,0.76,4.86,37.39,70.77,65.69,63.45,39.46,28.99,0.92,68.06,29.85,21.21,25.24
SF16-BE-r2-p1679,35.45,0.57,10.8,63.53,3.67,9.77,32.53,92.01,0.92,5.3,31.05,69.31,59.29,55.93,22.31,88.64,0.55,63.15,10.75,30.15,29.74
SF16-BE-r2-p1687,38.84,0.69,14.08,64.85,1.49,11.15,6.05,91.5,1.02,4.35,36.78,80.6,62.67,61.26,18.74,83.88,1.11,73.05,13.17,34.49,28.44
SF16-BE-r2-p1691,37.25,0.65,13.22,62.62,3.09,11.45,9.51,91.49,1.02,3.89,35.94,73.36,62.13,60.74,20,95.6,1.17,67.98,14.46,33.36,27.79
SF16-BE-r2-p1695,36.77,0.58,9.39,59.72,4.72,8.56,24.55,92.68,0.9,5.55,29.98,66,59.04,55.23,26.47,88.93,0.82,59.09,15.66,31.22,25.03
SF16-BE-r2-p1699,33.15,0.64,14.76,57.04,2.83,13.58,15.29,91.98,1,3.13,39.57,74.06,64.41,66.05,28.85,134.98,1.21,68.54,18.45,30.02,26.03
SF16-BE-r2-p1703,37.36,0.58,10.95,63.6,2.66,9.52,24.25,91.33,0.98,5.28,32.73,73.68,60.52,56.62,23.02,73.99,0.41,68.21,13.41,32.08,28.06
SF16-BE-r2-p1707,35.29,0.6,11.41,61.15,3.28,9.77,27.02,90.96,0.99,4.29,34.53,70.37,61.89,59.47,25.09,76.14,0.43,67.1,16.24,31,27.41
SF16-BE-r2-p1711,36.18,0.55,10.3,62.1,3.29,9.45,26.47,92.19,0.95,4.72,33.32,65.84,61.39,59.31,24.72,92.6,0.69,62.52,15.46,31.46,27.77
SF16-BE-r2-p1715,34.69,0.55,10.18,61.78,2.88,7.84,25.63,90.96,0.99,4.46,34.52,80.06,62.5,58.09,23.94,50.62,0.28,73.33,15.07,30.23,29.7
SF16-BE-r2-p1719,31.73,0.55,6.82,55.81,2.84,5.95,23.9,91.58,0.84,5.33,34.92,67.73,62.56,59.55,31.63,44.18,0.99,65.94,23.32,26.4,25.54
SF16-BE-r2-p1723,29.73,0.54,8.16,51.99,2.65,7,20.7,91.42,0.8,5.38,36.69,69.95,64.01,62.71,35.45,56.11,1.14,67.77,26.44,24.35,23.81
SF16-BE-r2-p1727,37.72,0.47,6.79,60.69,2.73,7.3,14.17,93.07,0.81,5.84,31.75,66.39,61.56,57.06,29.77,85.05,0.97,60.7,21.05,31.88,25.29
SF16-BE-r2-p1731,47.28,0.86,11.39,71.71,1.84,7.3,-9.42,91.97,1.05,5.09,30.21,73.49,58.74,55.52,14.27,25.48,0.7,67.95,11.27,42.19,27.18
SF16-BE-r2-p1739,41.9,0.65,13.84,69.06,1.97,10.26,16.01,92.04,1.05,3.46,33.87,81.14,61.32,57.36,14.35,64.96,0.72,71.68,8.57,38.44,29.34
SF16-BE-r2-p1743,35.97,0.54,6.26,58.88,3.77,6.24,21.08,92.98,0.82,6.04,30.53,65.55,60.14,55.66,29.07,67.31,1.07,59.18,19,29.93,24.63
