PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r1-p0755,PI_455307,16,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0755,MATURITY
SF-BE-r1-p0755,PI_455307,16,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0755,
SF-BE-r1-p0757,PI_568717,16,37,1 of 4,,,SF-BE-r1-p0757,
SF-BE-r1-p0759,PI_568717,16,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0759,ANTHESIS
SF-BE-r1-p0759,PI_568717,16,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0759,MATURITY
SF-BE-r1-p0759,PI_568717,16,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0759,
SF-BE-r1-p0761,PI_452542,16,41,1 of 4,,,SF-BE-r1-p0761,
SF-BE-r1-p0763,PI_452542,16,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0763,ANTHESIS
SF-BE-r1-p0763,PI_452542,16,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0763,MATURITY
SF-BE-r1-p0763,PI_452542,16,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0763,
SF-BE-r1-p0765,PI_329351,16,45,1 of 4,,,SF-BE-r1-p0765,
SF-BE-r1-p0767,PI_329351,16,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0767,ANTHESIS
SF-BE-r1-p0767,PI_329351,16,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0767,MATURITY
SF-BE-r1-p0767,PI_329351,16,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0767,
SF-BE-r2-p2257,PI_562981,16,49,1 of 4,,,SF-BE-r2-p2257,
SF-BE-r2-p2259,PI_562981,16,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2259,ANTHESIS
SF-BE-r2-p2259,PI_562981,16,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2259,MATURITY
SF-BE-r2-p2259,PI_562981,16,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2259,
SF-BE-r2-p2261,PI_155885,16,53,1 of 4,,,SF-BE-r2-p2261,
SF-BE-r2-p2263,PI_155885,16,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2263,ANTHESIS
SF-BE-r2-p2263,PI_155885,16,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2263,MATURITY
SF-BE-r2-p2263,PI_155885,16,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2263,
SF-BE-r2-p2265,PI_569453,16,57,1 of 4,,,SF-BE-r2-p2265,
SF-BE-r2-p2267,PI_569453,16,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2267,ANTHESIS
SF-BE-r2-p2267,PI_569453,16,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2267,MATURITY
SF-BE-r2-p2267,PI_569453,16,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2267,
SF-BE-r2-p2269,PI_329471,16,61,1 of 4,,,SF-BE-r2-p2269,
SF-BE-r2-p2271,PI_329471,16,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2271,ANTHESIS
SF-BE-r2-p2271,PI_329471,16,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2271,MATURITY
SF-BE-r2-p2271,PI_329471,16,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2271,
SF-BE-r2-p2273,PI_452692,16,65,1 of 4,,,SF-BE-r2-p2273,
SF-BE-r2-p2275,PI_452692,16,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2275,ANTHESIS
SF-BE-r2-p2275,PI_452692,16,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2275,MATURITY
SF-BE-r2-p2275,PI_452692,16,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2275,
SF-BE-r2-p2277,PI_329545,16,69,1 of 4,,,SF-BE-r2-p2277,
SF-BE-r2-p2279,PI_329545,16,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2279,ANTHESIS
SF-BE-r2-p2279,PI_329545,16,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2279,MATURITY
SF-BE-r2-p2279,PI_329545,16,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2279,
SF-BE-r2-p2281,PI_152733,16,73,1 of 4,,,SF-BE-r2-p2281,
SF-BE-r2-p2283,PI_152733,16,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2283,ANTHESIS
SF-BE-r2-p2283,PI_152733,16,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2283,MATURITY
SF-BE-r2-p2283,PI_152733,16,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2283,
SF-BE-r2-p2285,PI_337689,16,77,1 of 4,,,SF-BE-r2-p2285,
SF-BE-r2-p2287,PI_337689,16,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2287,ANTHESIS
SF-BE-r2-p2287,PI_337689,16,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2287,MATURITY
SF-BE-r2-p2287,PI_337689,16,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2287,
SF-BE-r2-p2289,PI_651497,16,81,1 of 4,,,SF-BE-r2-p2289,
SF-BE-r2-p2291,PI_651497,16,83,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2291,ANTHESIS
SF-BE-r2-p2291,PI_651497,16,83,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2291,MATURITY
SF-BE-r2-p2291,PI_651497,16,83,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2291,
SF-BE-r2-p2293,PI_144134,16,85,1 of 4,,,SF-BE-r2-p2293,
SF-BE-r2-p2295,PI_144134,16,87,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2295,ANTHESIS
SF-BE-r2-p2295,PI_144134,16,87,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2295,MATURITY
SF-BE-r2-p2295,PI_144134,16,87,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2295,
SF-BE-r2-p2297,PI_641836,16,89,1 of 4,,,SF-BE-r2-p2297,
SF-BE-r2-p2299,PI_641836,16,91,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2299,ANTHESIS
SF-BE-r2-p2299,PI_641836,16,91,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2299,MATURITY
SF-BE-r2-p2299,PI_641836,16,91,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2299,
SF-BE-r2-p2301,PI_542718,16,93,1 of 4,,,SF-BE-r2-p2301,
SF-BE-r2-p2303,PI_542718,16,95,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2303,ANTHESIS
SF-BE-r2-p2303,PI_542718,16,95,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2303,MATURITY
SF-BE-r2-p2303,PI_542718,16,95,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2303,
SF-BE-r2-p2305,FILL,16,97,1 of 4,,,SF-BE-r2-p2305,
SF-BE-r2-p2307,FILL,16,99,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2307,ANTHESIS
SF-BE-r2-p2307,FILL,16,99,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2307,MATURITY
SF-BE-r2-p2307,FILL,16,99,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2307,
SF-BE-r1-p0769,PI_527045,17,1,1 of 4,,,SF-BE-r1-p0769,
SF-BE-r1-p0771,PI_527045,17,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0771,ANTHESIS
SF-BE-r1-p0771,PI_527045,17,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0771,MATURITY
SF-BE-r1-p0771,PI_527045,17,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0771,
SF-BE-r1-p0773,PI_145619,17,5,1 of 4,,,SF-BE-r1-p0773,
SF-BE-r1-p0775,PI_145619,17,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0775,ANTHESIS
SF-BE-r1-p0775,PI_145619,17,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0775,MATURITY
SF-BE-r1-p0775,PI_145619,17,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0775,
SF-BE-r1-p0777,PI_145626,17,9,1 of 4,,,SF-BE-r1-p0777,
SF-BE-r1-p0779,PI_145626,17,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0779,ANTHESIS
SF-BE-r1-p0779,PI_145626,17,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0779,MATURITY
SF-BE-r1-p0779,PI_145626,17,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0779,
SF-BE-r1-p0781,PI_297155,17,13,1 of 4,,,SF-BE-r1-p0781,
SF-BE-r1-p0783,PI_297155,17,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0783,ANTHESIS
SF-BE-r1-p0783,PI_297155,17,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0783,MATURITY
SF-BE-r1-p0783,PI_297155,17,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0783,
SF-BE-r1-p0785,PI_562981,17,17,1 of 4,,,SF-BE-r1-p0785,
SF-BE-r1-p0787,PI_562981,17,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0787,ANTHESIS
SF-BE-r1-p0787,PI_562981,17,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0787,MATURITY
SF-BE-r1-p0787,PI_562981,17,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0787,
SF-BE-r1-p0789,PI_510757,17,21,1 of 4,,,SF-BE-r1-p0789,
SF-BE-r1-p0791,PI_510757,17,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0791,ANTHESIS
SF-BE-r1-p0791,PI_510757,17,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0791,MATURITY
SF-BE-r1-p0791,PI_510757,17,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0791,
SF-BE-r1-p0793,PI_329394,17,25,1 of 4,,,SF-BE-r1-p0793,
SF-BE-r1-p0795,PI_329394,17,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0795,ANTHESIS
SF-BE-r1-p0795,PI_329394,17,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0795,MATURITY
SF-BE-r1-p0795,PI_329394,17,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0795,
SF-BE-r1-p0797,PI_157033,17,29,1 of 4,,,SF-BE-r1-p0797,
SF-BE-r1-p0799,PI_157033,17,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0799,ANTHESIS
SF-BE-r1-p0799,PI_157033,17,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0799,MATURITY
SF-BE-r1-p0799,PI_157033,17,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0799,
SF-BE-r1-p0801,PI_585452,17,33,1 of 4,,,SF-BE-r1-p0801,
SF-BE-r1-p0803,PI_585452,17,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0803,ANTHESIS
SF-BE-r1-p0803,PI_585452,17,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0803,MATURITY
SF-BE-r1-p0803,PI_585452,17,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0803,
SF-BE-r1-p0805,PI_563196,17,37,1 of 4,,,SF-BE-r1-p0805,
SF-BE-r1-p0807,PI_563196,17,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0807,ANTHESIS
SF-BE-r1-p0807,PI_563196,17,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0807,MATURITY
SF-BE-r1-p0807,PI_563196,17,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0807,
SF-BE-r1-p0809,PI_585966,17,41,1 of 4,,,SF-BE-r1-p0809,
SF-BE-r1-p0811,PI_585966,17,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0811,ANTHESIS
SF-BE-r1-p0811,PI_585966,17,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0811,MATURITY
SF-BE-r1-p0811,PI_585966,17,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0811,
SF-BE-r1-p0813,PI_452692,17,45,1 of 4,,,SF-BE-r1-p0813,
SF-BE-r1-p0815,PI_452692,17,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0815,ANTHESIS
SF-BE-r1-p0815,PI_452692,17,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0815,MATURITY
SF-BE-r1-p0815,PI_452692,17,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0815,
SF-BE-r2-p2309,PI_521280,17,49,1 of 4,,,SF-BE-r2-p2309,
SF-BE-r2-p2311,PI_521280,17,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2311,ANTHESIS
SF-BE-r2-p2311,PI_521280,17,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2311,MATURITY
SF-BE-r2-p2311,PI_521280,17,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2311,
SF-BE-r2-p2313,PI_569097,17,53,1 of 4,,,SF-BE-r2-p2313,
SF-BE-r2-p2315,PI_569097,17,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2315,ANTHESIS
SF-BE-r2-p2315,PI_569097,17,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2315,MATURITY
SF-BE-r2-p2315,PI_569097,17,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2315,
SF-BE-r2-p2317,PI_329585,17,57,1 of 4,,,SF-BE-r2-p2317,
SF-BE-r2-p2319,PI_329585,17,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2319,ANTHESIS
SF-BE-r2-p2319,PI_329585,17,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2319,MATURITY
SF-BE-r2-p2319,PI_329585,17,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2319,
SF-BE-r2-p2321,PI_505722,17,61,1 of 4,,,SF-BE-r2-p2321,
SF-BE-r2-p2323,PI_505722,17,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2323,ANTHESIS
SF-BE-r2-p2323,PI_505722,17,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2323,MATURITY
SF-BE-r2-p2323,PI_505722,17,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2323,
SF-BE-r2-p2325,PI_156217,17,65,1 of 4,,,SF-BE-r2-p2325,
SF-BE-r2-p2327,PI_156217,17,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2327,ANTHESIS
SF-BE-r2-p2327,PI_156217,17,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2327,MATURITY
SF-BE-r2-p2327,PI_156217,17,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2327,
SF-BE-r2-p2329,PI_221651,17,69,1 of 4,,,SF-BE-r2-p2329,
SF-BE-r2-p2331,PI_221651,17,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2331,ANTHESIS
SF-BE-r2-p2331,PI_221651,17,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2331,MATURITY
SF-BE-r2-p2331,PI_221651,17,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2331,
SF-BE-r2-p2333,PI_521152,17,73,1 of 4,,,SF-BE-r2-p2333,
SF-BE-r2-p2335,PI_521152,17,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2335,ANTHESIS
SF-BE-r2-p2335,PI_521152,17,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2335,MATURITY
SF-BE-r2-p2335,PI_521152,17,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2335,
SF-BE-r2-p2337,PI_570145,17,77,1 of 4,,,SF-BE-r2-p2337,
SF-BE-r2-p2339,PI_570145,17,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2339,ANTHESIS
SF-BE-r2-p2339,PI_570145,17,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2339,MATURITY
SF-BE-r2-p2339,PI_570145,17,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2339,
SF-BE-r2-p2341,PI_226096,17,81,1 of 4,,,SF-BE-r2-p2341,
SF-BE-r2-p2343,PI_226096,17,83,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2343,ANTHESIS
SF-BE-r2-p2343,PI_226096,17,83,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2343,MATURITY
SF-BE-r2-p2343,PI_226096,17,83,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2343,
SF-BE-r2-p2345,CHECK,17,85,1 of 4,,,SF-BE-r2-p2345,
SF-BE-r2-p2347,CHECK,17,87,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2347,ANTHESIS
SF-BE-r2-p2347,CHECK,17,87,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2347,MATURITY
SF-BE-r2-p2347,CHECK,17,87,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2347,
SF-BE-r2-p2349,PI_641815,17,89,1 of 4,,,SF-BE-r2-p2349,
SF-BE-r2-p2351,PI_641815,17,91,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2351,ANTHESIS
SF-BE-r2-p2351,PI_641815,17,91,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2351,MATURITY
SF-BE-r2-p2351,PI_641815,17,91,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2351,
SF-BE-r2-p2353,PI_655972,17,93,1 of 4,,,SF-BE-r2-p2353,
SF-BE-r2-p2355,PI_655972,17,95,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2355,ANTHESIS
SF-BE-r2-p2355,PI_655972,17,95,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2355,MATURITY
SF-BE-r2-p2355,PI_655972,17,95,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2355,
SF-BE-r2-p2357,FILL,17,97,1 of 4,,,SF-BE-r2-p2357,
SF-BE-r2-p2359,FILL,17,99,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2359,ANTHESIS
SF-BE-r2-p2359,FILL,17,99,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2359,MATURITY
SF-BE-r2-p2359,FILL,17,99,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2359,
SF-BE-r1-p0817,PI_533998,18,1,1 of 4,,,SF-BE-r1-p0817,
SF-BE-r1-p0819,PI_533998,18,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0819,ANTHESIS
SF-BE-r1-p0819,PI_533998,18,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0819,MATURITY
SF-BE-r1-p0819,PI_533998,18,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0819,
SF-BE-r1-p0821,PI_175919,18,5,1 of 4,,,SF-BE-r1-p0821,
SF-BE-r1-p0823,PI_175919,18,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0823,ANTHESIS
SF-BE-r1-p0823,PI_175919,18,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0823,MATURITY
SF-BE-r1-p0823,PI_175919,18,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0823,
SF-BE-r1-p0825,PI_641892,18,9,1 of 4,,,SF-BE-r1-p0825,
SF-BE-r1-p0827,PI_641892,18,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0827,ANTHESIS
SF-BE-r1-p0827,PI_641892,18,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0827,MATURITY
SF-BE-r1-p0827,PI_641892,18,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0827,
SF-BE-r1-p0829,PI_196583,18,13,1 of 4,,,SF-BE-r1-p0829,
SF-BE-r1-p0831,PI_196583,18,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0831,ANTHESIS
SF-BE-r1-p0831,PI_196583,18,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0831,MATURITY
SF-BE-r1-p0831,PI_196583,18,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0831,
SF-BE-r1-p0833,PI_570109,18,17,1 of 4,,,SF-BE-r1-p0833,
SF-BE-r1-p0835,PI_570109,18,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0835,ANTHESIS
SF-BE-r1-p0835,PI_570109,18,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0835,MATURITY
SF-BE-r1-p0835,PI_570109,18,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0835,
SF-BE-r1-p0837,PI_329300,18,21,1 of 4,,,SF-BE-r1-p0837,
SF-BE-r1-p0839,PI_329300,18,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0839,ANTHESIS
SF-BE-r1-p0839,PI_329300,18,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0839,MATURITY
SF-BE-r1-p0839,PI_329300,18,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0839,
SF-BE-r1-p0841,PI_329510,18,25,1 of 4,,,SF-BE-r1-p0841,
SF-BE-r1-p0843,PI_329510,18,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0843,ANTHESIS
SF-BE-r1-p0843,PI_329510,18,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0843,MATURITY
SF-BE-r1-p0843,PI_329510,18,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0843,
SF-BE-r1-p0845,PI_297130,18,29,1 of 4,,,SF-BE-r1-p0845,
SF-BE-r1-p0847,PI_297130,18,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0847,ANTHESIS
SF-BE-r1-p0847,PI_297130,18,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0847,MATURITY
SF-BE-r1-p0847,PI_297130,18,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0847,
SF-BE-r1-p0849,PI_329326,18,33,1 of 4,,,SF-BE-r1-p0849,
SF-BE-r1-p0851,PI_329326,18,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0851,ANTHESIS
SF-BE-r1-p0851,PI_329326,18,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0851,MATURITY
SF-BE-r1-p0851,PI_329326,18,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0851,
SF-BE-r1-p0853,PI_585454,18,37,1 of 4,,,SF-BE-r1-p0853,
SF-BE-r1-p0855,PI_585454,18,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0855,ANTHESIS
SF-BE-r1-p0855,PI_585454,18,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0855,MATURITY
SF-BE-r1-p0855,PI_585454,18,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0855,
SF-BE-r1-p0857,PI_156463,18,41,1 of 4,,,SF-BE-r1-p0857,
SF-BE-r1-p0859,PI_156463,18,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0859,ANTHESIS
SF-BE-r1-p0859,PI_156463,18,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0859,MATURITY
SF-BE-r1-p0859,PI_156463,18,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0859,
SF-BE-r1-p0861,PI_329541,18,45,1 of 4,,,SF-BE-r1-p0861,
SF-BE-r1-p0863,PI_329541,18,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0863,ANTHESIS
SF-BE-r1-p0863,PI_329541,18,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0863,MATURITY
SF-BE-r1-p0863,PI_329541,18,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0863,
SF-BE-r2-p2361,PI_330195,18,49,1 of 4,,,SF-BE-r2-p2361,
SF-BE-r2-p2363,PI_330195,18,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2363,ANTHESIS
SF-BE-r2-p2363,PI_330195,18,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2363,MATURITY
SF-BE-r2-p2363,PI_330195,18,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2363,
SF-BE-r2-p2365,PI_329286,18,53,1 of 4,,,SF-BE-r2-p2365,
SF-BE-r2-p2367,PI_329286,18,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2367,ANTHESIS
SF-BE-r2-p2367,PI_329286,18,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2367,MATURITY
SF-BE-r2-p2367,PI_329286,18,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2367,
SF-BE-r2-p2369,PI_329465,18,57,1 of 4,,,SF-BE-r2-p2369,
SF-BE-r2-p2371,PI_329465,18,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2371,ANTHESIS
SF-BE-r2-p2371,PI_329465,18,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2371,MATURITY
SF-BE-r2-p2371,PI_329465,18,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2371,
SF-BE-r2-p2373,PI_330182,18,61,1 of 4,,,SF-BE-r2-p2373,
SF-BE-r2-p2375,PI_330182,18,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2375,ANTHESIS
SF-BE-r2-p2375,PI_330182,18,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2375,MATURITY
SF-BE-r2-p2375,PI_330182,18,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2375,
SF-BE-r2-p2377,PI_569886,18,65,1 of 4,,,SF-BE-r2-p2377,
SF-BE-r2-p2379,PI_569886,18,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2379,ANTHESIS
SF-BE-r2-p2379,PI_569886,18,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2379,MATURITY
SF-BE-r2-p2379,PI_569886,18,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2379,
SF-BE-r2-p2381,PI_562997,18,69,1 of 4,,,SF-BE-r2-p2381,
SF-BE-r2-p2383,PI_562997,18,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2383,ANTHESIS
SF-BE-r2-p2383,PI_562997,18,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2383,MATURITY
SF-BE-r2-p2383,PI_562997,18,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2383,
SF-BE-r2-p2385,CHECK,18,73,1 of 4,,,SF-BE-r2-p2385,
SF-BE-r2-p2387,CHECK,18,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2387,ANTHESIS
SF-BE-r2-p2387,CHECK,18,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2387,MATURITY
SF-BE-r2-p2387,CHECK,18,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2387,
