PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r2-p1555,PI_506030,1,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1555,ANTHESIS
SF-BE-r2-p1555,PI_506030,1,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1555,MATURITY
SF-BE-r2-p1555,PI_506030,1,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1555,
SF-BE-r2-p1557,PI_573193,1,69,1 of 4,,,SF-BE-r2-p1557,
SF-BE-r2-p1559,PI_573193,1,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1559,ANTHESIS
SF-BE-r2-p1559,PI_573193,1,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1559,MATURITY
SF-BE-r2-p1559,PI_573193,1,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1559,
SF-BE-r2-p1561,PI_585452,1,73,1 of 4,,,SF-BE-r2-p1561,
SF-BE-r2-p1563,PI_585452,1,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1563,ANTHESIS
SF-BE-r2-p1563,PI_585452,1,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1563,MATURITY
SF-BE-r2-p1563,PI_585452,1,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1563,
SF-BE-r2-p1565,PI_156393,1,77,1 of 4,,,SF-BE-r2-p1565,
SF-BE-r2-p1567,PI_156393,1,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1567,ANTHESIS
SF-BE-r2-p1567,PI_156393,1,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1567,MATURITY
SF-BE-r2-p1567,PI_156393,1,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1567,
SF-BE-r1-p0049,PI_365512,2,1,1 of 4,,,SF-BE-r1-p0049,
SF-BE-r1-p0051,PI_365512,2,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0051,ANTHESIS
SF-BE-r1-p0051,PI_365512,2,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0051,MATURITY
SF-BE-r1-p0051,PI_365512,2,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0051,
SF-BE-r1-p0053,PI_586435,2,5,1 of 4,,,SF-BE-r1-p0053,
SF-BE-r1-p0055,PI_586435,2,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0055,ANTHESIS
SF-BE-r1-p0055,PI_586435,2,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0055,MATURITY
SF-BE-r1-p0055,PI_586435,2,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0055,
SF-BE-r1-p0057,PI_569244,2,9,1 of 4,,,SF-BE-r1-p0057,
